"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A1.spat","A2.spat","A3.spat","A4.spat","A5.spat","A6.spat","A7.spat","A8.spat","A9.spat","A10.spat","A11.spat"
"1","XM_022479553.1",455.465397777882,-5.60770691125078,0.319038306756975,-17.5769078273175,3.70224237358632e-69,1.78225947864445e-65,105.673099235647,111.655227747254,121.399307205228,97.5442127186939,169.214503031306,141.570375163571,943.857127441494,1072.36816439494,652.286773014581,789.548016007072,805.002569596916
"2","XM_022470031.1",3721.98822436182,-4.30622612771059,0.280066743673704,-15.3757139145646,2.38203239105092e-53,5.73355196525957e-50,1750.33078915771,2112.05776598543,1358.7383998739,1253.29533917352,1259.34639755991,1126.00013623476,7323.95832479026,6108.1699676376,5922.02892796055,7330.11468954131,5397.82973006504
"3","XM_022479226.1",333.57029909327,-5.79112072907078,0.429446076313534,-13.4850940513489,1.91421240846564e-41,3.07167284478453e-38,53.7972141563292,83.4805441100962,96.1856049395267,73.8971308474954,113.080845775728,94.6927674935145,673.443614530155,1019.30828126082,417.096049223408,488.456130110075,555.835107578823
"4","XM_022469531.1",96.9577878466628,-20.2249851901676,1.72456935823532,-11.7275568498231,9.20781186750776e-32,1.10816015825456e-28,0,0,0,0,0,0,202.033084359047,255.525226672232,226.00358614308,168.546001344515,214.427767794417
"5","XM_022453491.1",324.059089147282,-1.88189532902346,0.167630598736663,-11.2264428046326,3.02409685240232e-29,2.91160044949296e-26,251.69410908854,250.441632330289,227.857161215966,215.779622074687,231.856410403472,213.761890975459,514.925348340749,569.695587334813,331.655669096146,379.637595261432,377.344954498555
"6","XM_022467152.1",97.8659912328366,-20.2251027797925,1.9015774023902,-10.6359608367088,2.02728258554919e-26,1.41861798321514e-23,0,0,0,0,0,0,217.574090848204,215.032157964611,289.39483591492,247.909895181495,106.614923651973
"7","XM_022484239.1",83.0221546227833,-19.7747232264531,1.85951548822276,-10.6343417689696,2.06280138814001e-26,1.41861798321514e-23,0,0,0,0,0,0,219.646225046758,305.792484378245,85.4403801272621,187.364244213077,115.000367085274
"8","XM_022434391.1",51.6613344118662,-18.4112251865497,1.78089380036025,-10.3381937669868,4.73375406325354e-25,2.84853650756282e-22,0,0,0,0,0,0,90.1378376371131,153.594398546151,108.408224247494,104.727612485912,111.406605613859
"9","XM_022446672.1",48.2263110643701,-17.9088976780074,1.75519406572164,-10.203371825237,1.91506089545674e-24,9.21910315072873e-22,0,0,0,0,0,0,82.8853679421729,62.8340721325161,137.80706472139,141.545913750491,105.417003161501
"10","XM_022475070.1",106.00982237541,3.33832749360434,0.327089561867264,10.2061572205079,1.86089429297813e-24,9.21910315072873e-22,138.335693544846,153.395499802302,154.083736068174,150.750146928891,161.892721650143,169.696939765605,48.6951536660266,71.2119484168516,31.2362680035152,40.0910391547633,46.7188991283925
"11","XM_022482777.1",322.849316119122,4.85601907208383,0.501096626425009,9.69078380496851,3.29986404825965e-22,1.44414050257472e-19,928.001944196678,476.882608228925,663.960826330131,396.088621342575,221.280503964015,386.271487201267,69.4164956515698,71.9101047738796,124.026358249251,94.9093988153579,118.594128556689
"12","XM_022432727.1",198.429989939368,22.1823200695937,2.32348280450474,9.54701279759285,1.33489808159028e-21,5.35516613731301e-19,551.421445102374,85.5675577128487,449.177436659343,235.485523634019,231.042879138898,630.035047085562,0,0,0,0,0
"13","XM_022435436.1",50.9462808542565,-18.1415750205751,1.92017970715013,-9.44785269473565,3.45852619899303e-21,1.2807188555348e-18,0,0,0,0,0,0,136.760857104585,256.921539386288,39.5046918867986,76.9093404193418,50.3126605998073
"14","XM_022490187.1",28.0401417665442,-16.5201552281764,1.75789027224345,-9.39771696164692,5.57597874737029e-21,1.9173401207029e-18,0,0,0,0,0,0,50.7672878645809,53.7580394911527,74.4158149495508,72.0002335840646,57.5001835426369
