"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A1.spat","A2.spat","A3.spat","A4.spat","A5.spat","A6.spat","A7.spat","A8.spat","A9.spat","A10.spat","A11.spat"
"15","XM_022483250.1",39.1408368031296,-16.9815732539659,1.84414690538936,-9.20836252488275,3.31137659588156e-20,1.03940991322687e-17,0,0,0,0,0,0,27.9738116804834,56.5506649192645,121.270216954824,114.545826156466,110.208685123387
"16","XR_002639968.1",409.577343402805,6.02983589844151,0.655145286727932,9.20381481878167,3.45462372489196e-20,1.03940991322687e-17,1010.61909450818,1336.73221256292,1015.08497640064,332.044441274746,134.232658654641,309.392210622374,46.6230194674723,53.0598831341247,91.871376480927,49.9092528253175,125.781651499518
"17","XM_022478513.1",401.66727136067,5.70388732747999,0.622243890838068,9.16664255200276,4.87980657308398e-20,1.38184640251919e-17,874.204730040349,556.189125133516,771.352521165525,500.529899607036,302.633630421374,933.801944787529,70.452562750847,76.0990429160473,131.376068367726,102.273059068274,99.427400709143
"18","XR_002640015.1",159.947977654179,3.93637658576317,0.433396311219302,9.08262595657241,1.0598633215855e-19,2.83454557228478e-17,318.940626783951,275.485795563318,206.378822248887,203.956081139087,183.85806579363,255.014185725108,67.3443614530155,41.8893814216774,81.765525068025,58.9092820233256,65.8856269759381
"19","XM_022433810.1",692.846478636808,3.86531372496277,0.427327410051861,9.04532130174769,1.49225662646522e-19,3.78090705252819e-17,1579.33250130366,978.809379690878,1014.15113557598,1090.72165130903,695.569231210415,914.113349566106,254.872506422182,296.716451736882,218.653876024606,341.182925051761,237.188257113377
"20","XM_022481062.1",85.4023334190694,19.6890763157144,2.17999690757527,9.03169919521302,1.69026502338661e-19,4.06846791129157e-17,134.493035390823,91.8285985211059,147.546850295585,264.05908089505,242.432316842928,59.0657856642714,0,0,0,0,0
"21","XM_022432113.1",493.978054807991,3.84806053487729,0.426362050897553,9.02533545557482,1.79145653934315e-19,4.10670084780854e-17,1861.76787562439,960.026257266107,1136.48428360586,213.809031918753,212.331660053706,245.638664191097,113.967380920488,92.1566391276903,237.946865085601,177.546030542523,182.083914551684
"22","XM_022479259.1",1413.49258628668,-2.29624009654359,0.255373687837974,-8.9916863243972,2.43465723324973e-19,5.3274726913019e-17,772.374288958726,1071.68148501336,784.426292710703,1003.03038937,851.767234008543,1008.80611705962,2042.08825267529,2200.58883735212,2111.2042315317,2073.27945343204,1629.17186704138
"23","XM_022490366.1",39.0513003181396,17.4719764404023,1.95722902923654,8.9268941853052,4.38136155341056e-19,9.17038022526889e-17,92.2237956965643,57.3928740756912,85.9133558683151,57.1471145220631,55.3201259910038,81.5670373458986,0,0,0,0,0
"24","XR_002638367.1",2835.18004305513,4.11917449058867,0.462189676813535,8.91230310245656,4.99832685743934e-19,1.00258106215471e-16,3218.22620399469,6317.39017553153,3739.09866192102,4371.75426093783,3606.3840958547,4643.69581579582,785.338861252089,1103.08704410417,1454.32388969307,1112.73088266282,834.950581858707
"25","XM_022460918.1",344.579279429231,3.98447661252776,0.453900985911951,8.77829468583855,1.65971932386042e-18,3.19595553002562e-16,503.38821817708,361.053353276166,564.039858091982,572.456440298598,414.900944932528,679.725311215822,129.508387409645,76.7971992730753,190.173749315519,152.182311893591,146.146299837535
"26","XM_022479807.1",1065.08706429622,2.82939217949064,0.329363168941074,8.59049355332393,8.65965291452506e-18,1.60336804348168e-15,1773.38673808185,1565.2602020643,1576.32331201865,1716.38402581783,1230.87280329983,1053.80862042287,619.568125367743,441.234817641669,572.358675476175,650.45665567422,516.30373139326
"27","XM_022480907.1",143.929102963581,-10.6228463214296,1.23742867064198,-8.58461305565071,9.11426779887664e-18,1.6250401919923e-15,0,0,0,138.926605993291,181.417471999909,127.507092862554,255.908573521459,354.663429370202,155.262626252767,174.273292652338,195.261039946871
"28","XM_022438458.1",32.3931982072697,16.9357574004236,1.97379487391608,8.58030265669021,9.46238374702712e-18,1.6268541199353e-15,78.774492157482,42.7837788564243,55.0966086546803,64.0441800678293,47.1848133452679,68.4413071982828,0,0,0,0,0
"29","XM_022433579.1",33.2365630341476,-17.0559637247472,1.99926762693309,-8.53110583844716,1.44955341383877e-17,2.40625866697235e-15,0,0,0,0,0,0,44.550885268918,87.9677009855226,95.546231540164,90.818476452627,46.7188991283925
"30","XR_002639911.1",232.636981918848,5.83479497768323,0.692380871782584,8.42714640954932,3.54196578767107e-17,5.68367443394952e-15,561.028090487433,331.835162837633,420.22837109502,396.088621342575,213.145191318279,356.269818292431,55.9476233609667,16.057596211643,71.659673655123,74.4547870017032,62.2918655045233
"31","XM_022462586.1",36.6055547592265,16.9455866546164,2.0215316456115,8.38254829767478,5.17939300788719e-17,8.0430961096674e-15,99.9091120046113,68.8714488908294,127.002352153161,35.4706228067978,23.592406672634,47.8151598234578,0,0,0,0,0
"32","XM_022470127.1",45.6985940924984,-16.8921341694845,2.04630838214651,-8.25493083880409,1.5199022791001e-16,2.28650299112121e-14,0,0,0,0,0,0,48.6951536660266,14.6612834975871,173.636901548952,139.909544805398,125.781651499518
"33","XM_022473649.1",171.014285462762,2.22688722585356,0.271100776730381,8.21424140760863,2.13509669030942e-16,3.11465317186351e-14,242.087463703481,213.918894282122,229.724842865277,239.426703945885,183.85806579363,250.326424958103,103.606709927716,108.214235339333,106.570796717875,90.818476452627,112.604526104331
"34","XM_022460067.1",143.422877345382,-10.7277775563181,1.31280386156711,-8.17165295622466,3.04192518272757e-16,4.30700818519133e-14,0,0,0,192.132540203488,153.757409004408,76.879276578893,251.76430512435,233.882379604366,247.134002733694,218.455254169832,203.646483380172
"35","XR_002637766.1",25.0757639210437,-16.3475050638961,2.00307186930838,-8.16121743526883,3.3166450042624e-16,4.56180830014834e-14,0,0,0,0,0,0,37.2984155739778,89.3640136995785,52.3666845941284,57.2729130782332,39.5313761855629
"36","XM_022460702.1",145.256861380206,-2.590429587714,0.321918268585891,-8.04685487124771,8.49488170583538e-16,1.13595445921921e-13,74.9318340034585,64.6974216853246,76.5749476217591,102.470688108527,113.894377040302,105.005841180927,242.439701230856,336.511364087475,141.481919780628,150.545942948499,189.271437494513
"37","XM_022472661.1",358.521214439906,-2.01683529701257,0.250912787812069,-8.0379932589293,9.13216532151912e-16,1.18816875291332e-13,172.919616931058,243.137084720655,234.394046988555,288.691457844215,309.141880537962,243.763559884295,650.650138346058,677.211666317118,354.623513216378,423.00137230638,346.199021746293
"38","XM_022446371.1",22.2422489340066,-15.9975541166404,1.9939905480057,-8.02288362532135,1.03291198637723e-15,1.30853639537369e-13,0,0,0,0,0,0,62.1640259566297,70.5137920598237,22.0491303554225,54.0001751880485,35.9376147141481
"39","XM_022461391.1",6081.60679271554,2.61995907972845,0.328982756345367,7.96381886039648,1.66809396086287e-15,2.05902675066509e-13,8963.00014425984,7482.98727266875,8700.59496331622,9129.74419243857,5796.41026008679,10116.1877351982,4143.23233000937,2988.80736443668,3456.20118321247,2952.00957694665,3168.49969729739
"40","XM_022452500.1",127.381668077267,-10.8320842085041,1.3608868180845,-7.95957758173499,1.72627603579566e-15,2.07757320908007e-13,0,0,0,152.720737084824,130.165002331774,57.1906813574692,250.728238025073,267.393884741707,138.7257784862,174.273292652338,230.000734170548
"41","XM_022462857.1",711.530999713606,-1.5969417380467,0.202997571590163,-7.86680217668221,3.63821262952703e-15,4.27179404842516e-13,495.702901869033,434.0988293725,512.678612735924,565.559374752832,704.518075120724,531.592070978443,1180.08042607669,1165.92111623669,710.165740197565,716.729597950462,809.794251558803
"42","XM_022471612.1",260.460203241785,3.53170695952781,0.449599607575385,7.85522696199338,3.99048883411559e-15,4.57386029700773e-13,434.220371404657,331.835162837633,448.243595834687,419.735703213774,301.8200991568,354.394713985629,126.400186111814,76.7971992730753,164.449763900859,113.72764168392,93.437798256785
"43","XM_022457463.1",50.051164341654,18.1993923551247,2.32028391188098,7.84360580269291,4.37789932808417e-15,4.90121101520865e-13,84.5384793885172,70.9584624935818,98.0532865888379,106.411868420393,22.7788754080604,167.821835458803,0,0,0,0,0
"44","XM_022434258.1",25.6591733183488,-15.76100705755,2.03111609098897,-7.75977657184324,8.50791362058414e-15,9.30843094761183e-13,0,0,0,0,0,0,39.3705497725321,16.755752568671,97.3836590697826,73.636602529157,55.1043425616937
"45","XM_022477524.1",21.7798400222655,15.7850132075834,2.03577605763055,7.75380629338752,8.91783271906464e-15,9.54009926879493e-13,55.7185432333409,31.3052040412861,42.9566779341576,29.5588523389982,28.4735942600755,51.5653684370624,0,0,0,0,0
"46","XM_022432525.1",71.9786434564097,-9.6342100869423,1.25607052567355,-7.67011874733397,1.7183719020626e-14,1.79831355141943e-12,0,0,0,50.2500489762969,85.4207827802264,77.8168287322941,102.570642828439,105.421609911221,109.326938012303,142.364098223037,118.594128556689
"47","XM_022476860.1",5186.307669228,2.64411113086777,0.345106424017221,7.66172678007241,1.83449589348295e-14,1.87899217685679e-12,9977.46189692205,6325.73822994254,11443.2854653297,4854.54884914146,4205.95663784543,5892.51528412613,2408.8560058194,2077.01516215817,3705.17261347578,3135.282898797,3023.55131795032
"48","XM_022439588.1",65.7257859708344,3.04082240760715,0.403781324517265,7.5308644134113,5.04055078978463e-14,5.05525239625484e-12,99.9091120046113,81.3935305073438,104.590172361427,101.48539303056,69.1501574887547,86.2547981129043,20.7213419855432,22.3410034248946,48.6918295348913,41.7274080998556,46.7188991283925
"49","XM_022478036.1",60.8296262583088,11.3509351236935,1.51024618515571,7.5159502041869,5.64990568031133e-14,5.55074407041199e-12,153.70632616094,99.1331461307393,105.524013186083,79.808901315295,90.3019703676679,70.316411505085,0,0,21.1304165906132,20.4546118136547,28.7500917713184
"50","XM_022439014.1",17.9657511075891,-14.9281755994064,1.99653417002298,-7.47704488285047,7.60124601402799e-14,7.31847966230615e-12,0,0,0,0,0,0,26.9377445812062,20.2465343538108,69.8222461255045,48.2728838802252,32.3438532427333
"51","XM_022451406.1",860.243925149547,4.84186209135012,0.648225972327627,7.46940464906725,8.05584575947126e-14,7.45785413194128e-12,2100.01268117385,1165.59709713722,1513.75597676673,1480.89850218381,754.143482259713,1081.93518502491,261.088909017845,109.610548053389,441.901320873259,329.728342436114,224.01113171819
"52","XM_022472143.1",32.469455167392,16.9392410509191,2.26770184141525,7.46978317058979,8.03270717974329e-14,7.45785413194128e-12,113.358415543694,19.8266292261479,61.6334944272695,52.2206391322301,46.3712820806943,63.7535464312771,0,0,0,0,0
"53","XM_022466609.1",57.6796488042314,-9.21532407419037,1.24467793135734,-7.40378200820265,1.32359638289475e-13,1.20222509193496e-11,0,0,0,63.0588849898627,62.641907372166,60.0033378176726,108.787045424102,122.87551883692,56.9602534181747,67.9093112213337,92.2398777663134
"54","XM_022444089.1",472.737128255054,-1.58838598139874,0.214698023875953,-7.39823288879673,1.38008659992503e-13,1.2303216466739e-11,397.715118941433,319.313081221118,296.96138224048,392.147441030709,394.562663318189,360.020026906035,667.227211934492,805.672436010262,481.406012760057,524.456246902107,560.62678954071
"55","XM_022459436.1",3044.57031213529,3.50857480929416,0.475586408498882,7.37736559875304,1.61452217025156e-13,1.41314722319837e-11,3963.70188587525,4265.85580402592,5396.66612568471,3567.75347731708,4085.55401068854,5092.78329727496,1266.07399531669,716.308422310684,2463.07160345365,1316.45881632682,1356.04599521385
"56","XM_022457391.1",12.6124701481001,-14.3463951581907,1.97647566250542,-7.2585741531494,3.91191917405769e-13,3.36285337569888e-11,0,0,0,0,0,0,21.7574090848204,38.3985996365376,25.7239854146595,22.9091652312933,29.94801226179
"57","XM_022475823.1",22.5756189556263,15.7839075808951,2.18419136088271,7.22643073476689,4.9585334511897e-13,4.18778597088196e-11,30.7412652321881,11.4785748151382,45.7582004081243,64.0441800678293,44.7442195515472,51.5653684370624,0,0,0,0,0
"58","XM_022451534.1",1336.46665527487,3.25575665332935,0.450709052130377,7.22363271369919,5.06168530960209e-13,4.20119880696973e-11,2762.8712127429,1525.60694361201,1800.44510993599,2279.97281041472,1199.95861524604,2043.86369441447,761.509317968714,587.84765261754,568.683820416938,567.820023947055,602.554006707216
"59","XM_022457363.1",134.973435970779,-3.2010968842361,0.443556540935626,-7.21688576045749,5.31916250221886e-13,4.34007598062399e-11,49.9545560023057,74.0889828977104,41.0889962848464,78.8236062373284,113.894377040302,72.1915158118873,297.351257492545,318.359298804748,128.619927073298,136.636806915214,173.698471118382
"60","XR_002640017.1",555.248662369516,2.63430630241433,0.366608386065404,7.18561386630246,6.69058873116494e-13,5.368082358638e-11,1070.18029589555,717.932679346828,720.925116634122,862.13319322078,584.115447963834,586.90764802911,297.351257492545,228.99528510517,374.835216042182,346.910216359584,317.448929974975
"61","XM_022447403.1",22.829355821461,-9.138770216851,1.2730980148713,-7.17837127236027,7.05467694850505e-13,5.56741226723005e-11,0,0,0,12.8088360135659,13.8300314977509,12.1881779942147,37.2984155739778,32.813348780314,45.9356882404635,50.7274372978637,45.5209786379209
"62","XM_022461751.1",158.234695214003,-1.90807823376203,0.265993237477783,-7.17340881240038,7.31529848243778e-13,5.67997530555734e-11,113.358415543694,118.959775356887,103.656331536771,121.191294589892,95.1831579551094,105.943393334328,206.177352756155,182.916965541325,263.67085050026,228.273467840387,201.250642399229
"63","XM_022457202.1",158.472946755591,-2.34330903767099,0.327544140063339,-7.15417786811222,8.41758646369088e-13,6.33160331815748e-11,142.17835169887,98.0896393293631,115.796262257294,82.7647865491949,71.5907512824755,106.880945487729,221.718359245313,256.921539386288,238.86557885041,196.364273411085,212.031926813474
"64","XM_022477735.1",434.277123789783,3.22636307393761,0.4509082013061,7.15525480484082,8.35176440618561e-13,6.33160331815748e-11,570.634735872491,524.88392109223,649.019373135641,756.706619878353,597.945479461585,565.343948500884,206.177352756155,87.2695446284946,280.207698266827,258.546293324596,280.313394770355
"65","XM_022433377.1",301.663366664944,2.45550845929088,0.344107647029711,7.13587297604828,9.61747954605099e-13,7.12285331302915e-11,443.827016789716,320.356588022494,418.360689445708,448.309260474805,315.650130654551,466.900972393765,134.688722906031,148.707304046955,243.459147674456,179.182399487615,198.854801418286
"66","XM_022470354.1",85.605226228504,-25.9202757079696,3.64751279591068,-7.10628780714066,1.19205701791279e-12,8.69479164277598e-11,0,0,0,0,126.910877273479,0,197.888815961938,315.566673376637,106.570796717875,127.636777717205,67.0835474664097
"67","XM_022442223.1",146.437218953971,12.3290717206211,1.73971658632123,7.08682771524982,1.37221033762349e-12,9.8594336795813e-11,363.131195555222,262.963713946803,280.15224739668,201.000195905187,78.0990013990642,233.450486196882,0,0,119.432789425205,29.4546410116628,43.1251376569777
"68","XM_022438784.1",136.593613713001,-8.36148137470183,1.18223717192361,-7.0725921780119,1.52065904571221e-12,1.07653715383214e-10,0,37.5662448495433,12.1399307205228,16.7500163254323,8.94884391030943,13.1257301476159,269.377445812062,184.313278255381,331.655669096146,323.182866655745,305.469725070259
"69","XM_022475317.1",127.174572426798,2.72245392622302,0.390669185559336,6.96869378711089,3.19897118611188e-12,2.23186192607863e-10,267.064741704634,209.744867076617,226.923320391311,126.117769979725,97.6237517488302,132.19485362956,64.236160155184,46.0783195638452,93.7088040105455,77.727524891888,57.5001835426369
"70","XM_022455706.1",106.05518032657,11.4008179466625,1.63887688065166,6.95648226005189,3.48874164667529e-12,2.39925746958498e-10,169.076958777034,187.831224247717,225.989479566655,150.750146928891,78.9125326636377,170.634491919006,0,0,101.977227893829,49.0910683527713,32.3438532427333
"71","XM_022488030.1",15.2075718397673,14.6949767979981,2.11326585850307,6.95368107087448,3.55875659720323e-12,2.4129372195685e-10,26.8986070781646,29.2181904385337,47.6258820574355,28.5735572610316,22.7788754080604,12.1881779942147,0,0,0,0,0
"72","XM_022434353.1",310.892500196505,-1.22893242337527,0.177950835399154,-6.90602222023123,4.98431944312604e-12,3.33257136100121e-10,228.638160164399,280.703329570199,252.137022657012,248.294359647585,244.872910636649,260.639498645515,406.138302916647,462.179508352508,335.330524155383,371.45575053597,329.428134879691
"73","XM_022439538.1",17.6711636229571,-14.9585065716354,2.1777242865446,-6.86887071244916,6.47121197530436e-12,4.26745403412537e-10,0,0,0,0,0,0,68.3804285522927,76.0990429160473,10.105851412902,27.8182720665704,11.979204904716
"74","XM_022439594.1",62.6535874507505,10.6375318874044,1.55093468406142,6.8587877985603,6.94473065434719e-12,4.51782883378748e-10,138.335693544846,74.0889828977104,113.928580607983,86.7059668610613,65.0825011658868,101.255632567322,0,0,46.8544020052727,27.0000875940242,35.9376147141481
"75","XM_022442224.1",150.254810703975,11.7862047876936,1.71963375858351,6.85390405303635,7.18612894082099e-12,4.61253662948163e-10,353.524550170163,261.920207145427,287.622973993924,160.603097708557,87.0478453093736,238.138246963888,0,0,162.612336371241,63.0002043860566,38.3334556950913
"76","XM_022461445.1",109.251583859847,-25.234764434864,3.72988310730453,-6.76556441821051,1.32790494785651e-11,8.41122949865951e-10,0,260.876700344051,0,0,0,0,134.688722906031,65.626697560628,266.426991794688,307.637361677367,166.510948175553
"77","XM_022476179.1",726.915206510321,3.778171512725,0.559749913915139,6.74974916261941,1.48100972243237e-11,9.25919584907719e-10,1145.11212989901,803.500237059676,1437.18102914497,830.603750725848,877.800234474898,946.927674935145,181.311742373503,77.4953556301032,769.882134910168,495.001605890444,431.251376569777
"78","XM_022466028.1",1143.25156796273,2.07666964012182,0.308710013034128,6.72692673526025,1.73283933557254e-11,1.06947289249311e-09,1640.81503176804,1263.68673646658,1464.26241305998,1832.64884501789,1313.03946102177,1385.70208272688,808.132337436186,532.693300412331,835.110812211626,746.184238962124,753.491988506638
"79","XM_022479523.1",421.745582695727,-2.38331072157112,0.356123095892338,-6.69237898092305,2.19571317420349e-11,1.33799534438172e-09,253.615438165552,266.094234350932,216.651071320099,353.720932990011,314.023068125404,220.324756049266,725.246969494013,775.65171265806,382.184926160656,553.092703441224,578.595596897784
"80","XM_022451736.1",193.631501440289,-2.16779918785517,0.324076054921051,-6.6891680361367,2.24442898431892e-11,1.35058514131391e-09,101.830441081623,106.437693740373,113.928580607983,143.853081383124,189.552784645645,130.319749322758,296.315190393268,424.479065072998,206.710597082086,202.091564718909,214.427767794417
"81","XM_022484535.1",373.728125378374,2.20113247380373,0.329689069051671,6.67638899929302,2.44901396592291e-11,1.45550039900653e-09,470.72562386788,296.355931590842,413.69148532243,610.882948339295,458.018101954928,576.594574341697,160.59040038796,120.082893408809,328.899527801719,331.364711381207,343.80318076535
"82","XM_022489768.1",537.108221284307,-2.38175789766162,0.357739597584061,-6.65779777733985,2.77960852606818e-11,1.63183359079173e-09,288.199361551763,331.835162837633,276.416884098057,387.220965640876,477.542852304694,306.579554162171,913.811181562457,1186.86580694753,474.975016406392,540.001751880485,724.741896735319
"83","XM_022434111.1",21.542855063234,15.7615990443702,2.3721666414971,6.64438946600431,3.04476499868115e-11,1.76596369923507e-09,76.8531630804702,13.5655884178906,32.684428862946,24.6323769491651,35.7953756412377,53.4404727438646,0,0,0,0,0
"84","XM_022446066.1",150.225116194334,2.44753475149156,0.368616444966574,6.63978719591174,3.14136354615797e-11,1.8003004894291e-09,366.973853709245,233.745523508269,271.747679974779,135.970720759392,106.57259565914,116.256467021741,68.3804285522927,62.8340721325161,113.920506836349,82.6366317271651,93.437798256785
"85","XM_022434388.1",90.3920415533594,5.03349570451408,0.758625301528501,6.63502218337886,3.24453735831951e-11,1.83755327564119e-09,280.514045243716,181.570183439459,171.82671173663,117.250114278026,43.9306882869736,68.4413071982828,9.32460389349446,18.8502216397548,46.8544020052727,27.0000875940242,28.7500917713184
"86","XM_022463707.1",1339.38318062378,-4.7433770546405,0.716148223903803,-6.62345712286184,3.50893741875788e-11,1.96418892254656e-09,226.716831087387,254.615659535794,222.254116268033,1431.63374828548,824.107171013041,333.768566610804,4113.18638413033,2028.84237352324,1976.15330810474,1690.36912028043,1631.56770802232
"87","XR_002637205.1",265.070555523205,3.75553241442055,0.567372277785713,6.61916798098999,3.61226188943562e-11,1.99878491215438e-09,247.851450934516,319.313081221118,411.823803673119,436.485719539206,270.09237983843,505.340610683211,64.236160155184,30.0207233522022,210.385452141323,173.455108179792,246.77162103715
"88","XM_022457948.1",43.7586133300183,-9.00183812145121,1.3620826817037,-6.60887789145934,3.87243957428332e-11,2.11840046711362e-09,0,0,0,50.2500489762969,58.5742510492981,21.5636995282261,70.452562750847,83.0806064863269,61.5538222422211,71.1820491115185,64.6877064854665
"89","XM_022468543.1",578.650973884598,2.91517286133608,0.441253575644577,6.60657051238087,3.9332497325719e-11,2.12749036096642e-09,914.552640657596,651.148244058751,949.716118674744,770.500750969885,607.707854636468,837.234072987213,262.124976117122,138.234958691535,501.617715585861,383.728517624163,348.594862727236
"90","XM_022452963.1",32.397403431036,-9.36768466836892,1.42038512897806,-6.59517230732259,4.24762246174907e-11,2.27200605898445e-09,0,0,0,26.6029671050983,30.9141880537962,11.2506258408136,54.9115562616896,83.7787628433548,40.4234056516079,45.0001459900404,63.4897859949949
"91","XM_022468523.1",205.394018548133,4.93291105716997,0.752778209777623,6.55294081722582,5.64148792081009e-11,2.9844091044813e-09,451.512333097763,372.531928091304,368.867125738962,364.559178847644,160.265659120996,237.200694810487,76.66896534651,19.5483779967828,59.7163947126025,80.1820783095265,68.2814679568813
"92","XM_022435408.1",59.990735413152,10.0749266692628,1.53925776450899,6.5453148274205,5.93701801833617e-11,3.10660921089895e-09,115.279744620705,53.2188468701864,87.7810375176263,102.470688108527,90.3019703676679,75.9417244254918,0,0,47.773115770082,36.8183012645785,50.3126605998073
"93","XM_022484348.1",11.9614646987399,-13.968001101127,2.13466113296036,-6.54342784690895,6.0124499524969e-11,3.11225097541076e-09,0,0,0,0,0,0,20.7213419855432,18.8502216397548,20.2117028258039,46.6365149351328,25.1563302999036
"94","XM_022453542.1",65.839587601504,-8.41572504731268,1.28826688056316,-6.53259442921778,6.46400151481114e-11,3.31039396726604e-09,0,0,0,90.6471471729277,94.3696266905358,109.693601947933,111.895246721933,79.5898247011871,101.05851412902,84.2730006722575,52.7085015807505
"95","XM_022461635.1",251.970712697818,-2.11077638566927,0.32363776578712,-6.52203360919776,6.93604673433345e-11,3.51475041885066e-09,151.784997083929,144.003938589916,166.223666788697,205.926671295021,225.348160286883,137.820166549967,383.34482673255,491.502075347682,277.451556972399,304.364623787182,283.90715624177
"96","XM_022444355.1",213.12625005521,4.37984120622629,0.674367895085966,6.49473564524889,8.31793388679691e-11,4.17109726365003e-09,463.040307559833,151.308486199549,337.116537700671,388.206260718843,279.04122374874,269.077468026125,43.5148181696408,31.4170360662581,154.343912487957,88.3639230349884,138.958776894706
"97","XM_022453786.1",244.888954553775,2.91159893748214,0.449190551677083,6.48187929735274,9.05871001522874e-11,4.49573505291868e-09,297.806006936822,187.831224247717,316.572039558248,422.691588447674,317.277193183698,544.717801126059,159.554333288683,119.384737051781,117.595361895587,96.5457677604503,113.802446594802
"98","XM_022471572.1",237.621254243149,-1.45665053106505,0.224787003502499,-6.48013678890852,9.16394996089789e-11,4.50155664405739e-09,155.627655237952,147.134458994045,154.083736068174,224.647277776386,248.940566959517,180.947565606419,303.567660088208,316.264829733664,311.443966270342,274.091798302973,297.084281636957
"99","XM_022479210.1",98.9793667536866,24.2433117836182,3.74665267448408,6.47065898280967,9.75764265682951e-11,4.74477694444215e-09,134.493035390823,343.313737652771,257.740067604945,0,0,172.509596225809,74.5968311479556,106.119766268249,0,0,0
"100","XM_022459183.1",223.627101393443,-1.96389780860517,0.303700642077301,-6.46655797357615,1.00260373323614e-10,4.82653437179879e-09,155.627655237952,170.091608624321,124.200829679195,164.544278020423,191.179847174792,136.882614396566,397.84976612243,386.778621793488,208.548024611704,279.819089610797,244.375780056207
"101","XM_022439601.1",87.8362598389611,4.80511832268705,0.743529990890761,6.46257498897985,1.02936105325332e-10,4.90628129738763e-09,170.998287854046,111.655227747254,124.200829679195,110.35304873226,117.148502098596,195.010847907436,30.0459458790377,14.6612834975871,49.6105432997006,24.5455341763857,17.968807357074
