"","A1.spat","A2.spat","A3.spat","A4.spat","A5.spat","A6.spat","A7.spat","A8.spat","A9.spat","A10.spat","A11.spat"
"XM_022430391.1",43,50,81,83,59,96,46,93,14,48,29
"XM_022430394.1",364,597,718,930,1357,954,1131,1862,947,1237,1055
"XM_022430403.1",195,307,380,1238,957,406,1111,1109,692,1138,823
"XM_022430411.1",0,0,64,29,0,31,0,78,42,37,0
"XM_022430414.1",0,0,61,77,64,55,42,42,52,69,22
"XM_022430415.1",0,143,137,166,225,169,182,450,174,242,150
"XM_022430418.1",180,122,252,310,187,140,105,133,195,208,193
"XM_022430428.1",0,58,44,45,39,59,19,65,67,73,22
"XM_022430438.1",0,0,0,0,0,17,38,33,0,21,16
"XM_022430449.1",690,1951,1656,1317,1778,1493,2427,2998,1679,2203,1334
"XM_022430450.1",294,1024,687,419,431,398,343,401,370,464,213
"XM_022430453.1",97,204,224,212,331,244,227,354,174,215,140
"XM_022430465.1",0,306,187,106,220,107,0,175,230,341,74
"XM_022430482.1",0,0,57,48,46,20,20,20,54,100,23
"XM_022430522.1",39,60,88,71,149,110,83,219,77,94,76
"XM_022430529.1",284,598,608,863,1455,611,999,1768,606,963,738
"XM_022430568.1",12,15,30,36,48,53,41,106,53,41,52
"XM_022430585.1",0,62,77,69,72,84,69,199,101,84,33
"XM_022430588.1",76,0,93,84,90,34,0,0,0,0,0
"XM_022430589.1",0,0,0,0,27,0,30,127,0,61,24
"XM_022430595.1",24,49,96,76,75,81,107,196,128,162,94
"XM_022430598.1",246,149,377,341,389,600,308,315,286,282,179
"XM_022430605.1",347,724,246,413,413,445,456,1137,433,539,424
"XM_022430607.1",0,197,181,68,56,0,185,0,52,276,122
"XM_022430614.1",41,552,194,150,284,61,0,239,261,201,61
"XM_022430616.1",0,256,37,38,0,0,121,50,63,84,38
"XM_022430618.1",115,216,186,108,82,220,24,75,77,70,0
"XM_022430638.1",79,113,133,144,202,158,111,138,102,96,83
"XM_022430641.1",0,0,27,0,62,28,26,101,0,25,26
"XM_022430642.1",28,82,71,34,83,68,0,65,60,72,0
"XM_022430648.1",11,28,43,33,52,43,26,42,53,56,36
"XM_022430660.1",0,21,29,0,43,67,20,23,42,95,0
"XM_022430676.1",35,38,33,0,87,86,0,0,0,0,0
"XM_022430678.1",101,206,168,212,251,187,223,202,235,250,217
"XM_022430679.1",15,24,57,45,60,13,0,32,9,24,0
"XM_022430681.1",28,119,152,133,207,123,175,262,171,178,130
"XM_022430727.1",59,59,88,131,111,69,137,230,212,191,167
"XM_022430734.1",0,0,30,68,86,0,32,30,40,111,29
"XM_022430762.1",0,112,77,99,114,95,128,148,141,109,92
"XM_022430772.1",0,260,272,262,341,268,311,589,266,344,192
"XM_022430777.1",181,247,335,334,556,329,374,622,483,607,376
"XM_022430808.1",0,28,66,72,84,69,86,143,66,89,63
"XM_022430833.1",0,39,0,39,0,0,21,0,17,19,0
"XM_022430854.1",94,255,227,125,180,201,161,231,179,247,147
"XM_022430858.1",26,76,92,100,171,115,229,499,137,166,136
"XM_022430861.1",64,258,122,94,134,122,117,201,111,173,83
"XM_022430893.1",83,141,160,196,349,165,431,857,256,364,238
"XM_022430901.1",0,38,36,34,48,31,15,0,38,26,29
"XM_022430906.1",0,0,0,0,50,0,53,89,25,31,0
"XM_022430907.1",68,179,167,140,168,172,120,217,272,192,180
"XM_022430917.1",0,57,0,28,42,20,0,25,21,18,0
"XM_022430920.1",0,86,0,45,114,88,42,139,41,107,0
"XM_022430932.1",71,89,75,142,108,185,124,179,139,198,37
"XM_022430961.1",0,125,167,171,177,164,157,282,99,265,67
"XM_022430979.1",0,43,21,0,0,19,0,18,57,66,51
"XM_022430992.1",0,0,14,31,33,0,0,0,14,14,15
"XM_022431025.1",0,27,0,0,30,20,27,143,0,52,0
"XM_022431042.1",0,98,0,0,0,21,53,0,66,47,0
"XM_022431084.1",0,57,42,40,24,43,0,22,64,58,18
"XM_022431156.1",934,1106,1792,1791,1503,2625,636,460,911,761,620
"XM_022431171.1",0,0,0,31,71,0,138,236,0,102,29
"XM_022431186.1",34,14,39,39,29,38,68,99,65,75,53
"XM_022431191.1",61,57,62,26,34,0,0,0,0,0,0
"XM_022431214.1",0,63,110,96,126,134,102,173,102,113,0
"XM_022431230.1",85,167,161,198,302,191,142,227,104,186,111
"XM_022431233.1",35,168,151,143,182,163,211,310,113,176,144
"XM_022431236.1",0,0,77,38,72,75,0,70,0,25,0
"XM_022431246.1",0,13,26,23,24,26,0,31,18,37,14
"XM_022431285.1",204,418,354,236,380,269,370,905,348,364,330
"XM_022431293.1",67,62,135,125,136,140,67,76,83,65,59
"XM_022431308.1",0,0,35,0,43,19,15,0,0,40,0
"XM_022431309.1",34,48,45,45,75,59,56,123,18,53,44
"XM_022431344.1",0,209,231,102,266,127,111,274,113,110,0
"XM_022431419.1",0,0,0,23,19,15,18,0,67,37,0
"XM_022431420.1",0,15,0,14,21,0,14,0,0,0,16
"XM_022431437.1",0,0,19,29,43,0,39,0,46,50,0
"XM_022431439.1",54,202,118,66,88,63,71,131,151,111,59
"XM_022431449.1",0,0,0,15,31,20,16,35,31,0,0
"XM_022431537.1",0,24,40,19,42,39,0,18,62,66,46
"XM_022431568.1",67,99,126,134,182,127,156,328,179,178,131
"XM_022431604.1",15,18,58,49,35,57,18,24,62,56,19
"XM_022431623.1",175,278,260,165,346,107,268,409,75,272,261
"XM_022431635.1",0,242,212,198,249,204,290,472,251,314,166
"XM_022431641.1",175,359,385,281,335,257,381,706,416,530,311
"XM_022431648.1",0,221,0,120,0,334,113,242,358,285,119
"XM_022431697.1",196,371,360,327,389,344,504,893,436,536,333
"XM_022431706.1",0,667,417,446,492,214,480,802,0,637,0
"XM_022431793.1",0,0,128,0,68,0,83,365,69,0,64
"XM_022431802.1",0,0,0,51,69,52,0,0,52,127,0
"XM_022431896.1",0,27,64,73,31,29,53,84,51,63,22
"XM_022431912.1",0,0,0,0,44,0,89,125,50,125,41
"XM_022431957.1",0,22,0,23,26,0,0,53,33,26,38
"XM_022431972.1",0,164,73,0,219,156,250,587,68,221,149
"XM_022431984.1",0,373,297,282,319,306,267,439,333,393,128
"XM_022431985.1",221,554,470,665,744,587,650,997,681,737,589
"XM_022432079.1",929,1075,1424,1898,2542,2830,2465,2992,2492,2571,1517
"XM_022432103.1",0,210,229,255,316,226,267,339,308,340,234
"XM_022432113.1",969,920,1217,217,261,262,110,132,259,217,152
