"","MEred","MEturquoise","MEpurple","MEsalmon","MEcyan","MEgreenyellow","MEblue","MEgreen","MEtan","MEbrown","MEblack","MEmagenta"
"A2.spat",-0.12010035811505,-0.126322920949265,-0.36157662945847,-0.663293703912056,-0.615972175654901,-0.56200261884432,0.194343361048683,0.20989598213446,0.828227134023682,0.115444705938102,0.277414959322892,0.128875583875531
"A3.spat",-0.244448014394941,-0.307237235989814,-0.249569474419967,-0.321811719653956,0.215162599907328,0.0428292799040397,0.389568504763233,0.21930444490413,0.0434556642980123,-5.49897185212478e-05,0.14211721004043,0.0337192725638601
"A4.spat",-0.267945872730014,-0.246322956340388,-0.0529192644624534,-0.0440289817668447,0.24540213823789,0.364528012039581,0.324314802214968,0.103089173530443,-0.287465631491599,-0.0431065276375927,0.13590584238489,-0.528686889164001
"A5.spat",-0.46074069588981,-0.0130388062339072,0.174382193839714,0.129412588548675,0.223139145603948,0.138127838601701,0.19459978213923,-0.0543706192425696,-0.291869400879689,0.138773468340968,0.110978213930711,0.056001828372744
"A6.spat",-0.328286384988734,-0.287739447743264,-0.327664140662993,-0.339875389661467,0.324884998727745,-0.0319600945651401,0.412138053178033,0.113787406721405,-0.0252038801210791,0.156852896321603,0.146212156586956,0.0936288211173951
"A7.spat",0.106829428079082,0.377368448365002,0.336093670293052,0.247777098657842,-0.461609154064304,-0.0737302208686705,-0.30798104419591,-0.366341977765542,-0.00698135642810106,0.127735576250831,-0.819460466659404,-0.465758566103023
"A8.spat",0.109898938202963,0.747712176346181,0.426189115407134,0.349938929038748,-0.0549585010070982,-0.580162283642096,-0.438654613024489,-0.779696789491997,0.214592636755687,0.306148279721169,0.0876016114100586,0.335687518360997
"A9.spat",0.509043169166602,-0.206299936870567,0.228384067103668,0.21035908501047,0.236838697391003,0.347664617947589,-0.174489263186219,0.341140005098162,-0.247088080278827,-0.0551628329286244,0.106686420710798,0.37548493401078
"A10.spat",0.416150092523729,0.0257401610924717,0.303615006715278,0.192632259380893,0.143745967560689,0.135315859422529,-0.254963410068273,0.113022530471273,-0.0409482283135114,0.150678387411885,0.173234312785826,0.317047876996085
"A11.spat",0.279599698146176,0.036140518323551,-0.476934544354963,0.238889834357697,-0.2566337167023,0.219389610004786,-0.338876172869256,0.100169843640234,-0.186718857564577,-0.897308963699822,-0.360690260513158,-0.34600038003037
