"","Cgigas_KEGGID","Day","modColor","KEGGID_pathway","pathway.name","Num.genes.all","Num.genes.exp","Gene.IDs","Rich_factor","pvalue","log10_pvalue","qvalue","Cvirginica_GeneID","Cvirginica_Protein_name"
"1","crg:105329407","Day2","green","crg00190","Oxidative phosphorylation",84,7,"105329407",0.0833333333333333,0.00143297157430923,2.84376242456643,0.0346929960095919,"LOC111133766"," NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 9-like"
"2","crg:105328413","Day2","green","crg00190","Oxidative phosphorylation",84,7,"105328413",0.0833333333333333,0.00143297157430923,2.84376242456643,0.0346929960095919,"LOC111101764"," NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial-like"
"3","crg:105319124","Day2","green","crg00190","Oxidative phosphorylation",84,7,"105319124",0.0833333333333333,0.00143297157430923,2.84376242456643,0.0346929960095919,"LOC111114799"," V-type proton ATPase subunit C 1-like"
"4","crg:105347217","Day2","green","crg00190","Oxidative phosphorylation",84,7,"105347217",0.0833333333333333,0.00143297157430923,2.84376242456643,0.0346929960095919,"LOC111133662"," cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like"
"5","crg:105347217","Day2","green","crg00190","Oxidative phosphorylation",84,7,"105347217",0.0833333333333333,0.00143297157430923,2.84376242456643,0.0346929960095919,"LOC111136161"," cytochrome c oxidase subunit 4 isoform 1, mitochondrial-like"
"6","crg:105344150","Day2","green","crg00190","Oxidative phosphorylation",84,7,"105344150",0.0833333333333333,0.00143297157430923,2.84376242456643,0.0346929960095919,"LOC111112645"," cytochrome c-like"
"7","crg:105332292","Day2","green","crg00190","Oxidative phosphorylation",84,7,"105332292",0.0833333333333333,0.00143297157430923,2.84376242456643,0.0346929960095919,"LOC111137398"," cytochrome c1-2, heme protein, mitochondrial-like"
"8","crg:105332292","Day2","green","crg00190","Oxidative phosphorylation",84,7,"105332292",0.0833333333333333,0.00143297157430923,2.84376242456643,0.0346929960095919,"LOC111132066"," cytochrome c1-2, heme protein, mitochondrial-like"
"9","crg:105341412","Day2","green","crg03010","Ribosome",122,39,"105341412",0.319672131147541,4.92196911991965e-39,38.307861115357,2.38326925806635e-37,"LOC111137591"," 40S ribosomal protein S10-like"
"10","crg:105341412","Day2","green","crg03010","Ribosome",122,39,"105341412",0.319672131147541,4.92196911991965e-39,38.307861115357,2.38326925806635e-37,"LOC111107343"," 40S ribosomal protein S10-like"
"11","crg:105317506","Day2","green","crg03010","Ribosome",122,39,"105317506",0.319672131147541,4.92196911991965e-39,38.307861115357,2.38326925806635e-37,"LOC111114067"," 40S ribosomal protein S11-like"
"12","crg:105338085","Day2","green","crg03010","Ribosome",122,39,"105338085",0.319672131147541,4.92196911991965e-39,38.307861115357,2.38326925806635e-37,"LOC111100708"," 40S ribosomal protein S13-like"
"13","crg:105332215","Day2","green","crg03010","Ribosome",122,39,"105332215",0.319672131147541,4.92196911991965e-39,38.307861115357,2.38326925806635e-37,"LOC111128580"," 40S ribosomal protein S15-like"
