"","slim_term","slim_cat","GO_list","Gene_IDs","module_day"
"1","structural molecule activity","GO:0003735","GO:0003735","XM_022453199.1;XM_022454936.1;XM_022458054.1;XM_022459436.1;XM_022459437.1;XM_022462052.1;XM_022469477.1;XM_022473390.1;XM_022474388.1;XM_022474564.1;XM_022478637.1;XM_022483859.1;XM_022489606.1","Day2_hightemp_brown"
"2","catalytic activity, acting on a pro...","GO:0008233","GO:0008233","XM_022430907.1;XM_022440898.1;XM_022448615.1;XM_022450957.1;XM_022450958.1;XM_022450959.1;XM_022451096.1;XM_022456984.1;XM_022463568.1;XM_022466797.1;XM_022470946.1;XM_022473643.1;XM_022476331.1;XM_022476404.1;XM_022477432.1;XM_022482785.1;XM_022487059.1;XM_022488927.1;XM_022489051.1;XM_022489329.1","Day2_hightemp_brown"
"3","hydrolase activity","GO:0008233","GO:0008233;GO:0016887","XM_022430907.1;XM_022440672.1;XM_022440898.1;XM_022443860.1;XM_022447503.1;XM_022448615.1;XM_022450957.1;XM_022450958.1;XM_022450959.1;XM_022451096.1;XM_022452973.1;XM_022456845.1;XM_022456984.1;XM_022463568.1;XM_022466797.1;XM_022470946.1;XM_022473643.1;XM_022476331.1;XM_022476404.1;XM_022477432.1;XM_022482785.1;XM_022487059.1;XM_022488927.1;XM_022489051.1;XM_022489329.1","Day2_hightemp_brown"
"4","transporter activity","GO:0022857","GO:0022857","XM_022435122.1;XM_022440672.1;XM_022443860.1;XM_022444804.1;XM_022447503.1;XM_022452973.1;XM_022456845.1;XM_022457734.1;XM_022458975.1;XM_022463353.1;XM_022465241.1;XM_022466077.1;XM_022466350.1;XM_022472735.1;XM_022480579.1;XM_022482199.1;XM_022486812.1","Day2_hightemp_brown"
"5","molecular function regulator","GO:0030234","GO:0030234","XM_022435628.1;XM_022459024.1;XM_022461285.1;XM_022467480.1;XM_022467573.1;XM_022468543.1;XM_022471169.1;XM_022471194.1;XM_022476331.1;XM_022478691.1","Day2_hightemp_brown"
