SampleName,SapleName_readmatrix,Treatment,Temperature,OA,Salinity ,Replicate,ID,Age.days
A1_Ospat_1,A1.spat,High.Temp_Low.OA_High.Salinity,High,Low,High,A,1,18
A2_Ospat_2,A2.spat,High.Temp_Low.OA_High.Salinity,High,Low,High,B,2,18
A3_Ospat_3,A3.spat,High.Temp_Low.OA_High.Salinity,High,Low,High,C,3,18
A4_Ospat_4,A4.spat,High.Temp_High.OA_High.Salinity,High,High,High,A,4,18
A5_Ospat_5,A5.spat,High.Temp_High.OA_High.Salinity,High,High,High,B,5,18
A6_Ospat_6,A6.spat,High.Temp_High.OA_High.Salinity,High,High,High,C,6,18
A7_Ospat_7,A7.spat,High.Temp_High.OA_Low.Salinity,High,High,Low,A,7,18
A8_Ospat_8,A8.spat,High.Temp_High.OA_Low.Salinity,High,High,Low,B,8,18
A9_Ospat_19,A9.spat,High.Temp_Low.OA_Low.Salinity,High,Low,Low,A,19,18
A10_Ospat_20,A10.spat,High.Temp_Low.OA_Low.Salinity,High,Low,Low,B,20,18
A11_Ospat_21,A11.spat,High.Temp_Low.OA_Low.Salinity,High,Low,Low,C,21,18
A12_Olarva_1,A12.larva,High.Temp_Low.OA_High.Salinity,High,Low,High,A,1,2
B1_Olarva_2,B1.larva,High.Temp_Low.OA_High.Salinity,High,Low,High,B,2,2
B2_Olarva_3,B2.larva,High.Temp_Low.OA_High.Salinity,High,Low,High,C,3,2
B3_Olarva_4,B3.larva,High.Temp_High.OA_High.Salinity,High,High,High,A,4,2
B4_Olarva_5,B4.larva,High.Temp_High.OA_High.Salinity,High,High,High,B,5,2
B5_Olarva_6,B5.larva,High.Temp_High.OA_High.Salinity,High,High,High,C,6,2
B6_Olarva_7,B6.larva,High.Temp_High.OA_Low.Salinity,High,High,Low,A,7,2
B7_Olarva_8,B7.larva,High.Temp_High.OA_Low.Salinity,High,High,Low,B,8,2
B8_Olarva_9,B8.larva,High.Temp_High.OA_Low.Salinity,High,High,Low,C,9,2
B9_Olarva_10,B9.larva,Low.Temp_Low.OA_High.Salinity,Low,Low,High,A,10,2
B10_Olarva_11,B10.larva,Low.Temp_Low.OA_High.Salinity,Low,Low,High,B,11,2
B11_Olarva_12,B11.larva,Low.Temp_Low.OA_High.Salinity,Low,Low,High,C,12,2
B12_Olarva_13,B12.larva,Low.Temp_High.OA_High.Salinity,Low,High,High,A,13,2
C1_Olarva_14,C1.larva,Low.Temp_High.OA_High.Salinity,Low,High,High,B,14,2
C2_Olarva_15,C2.larva,Low.Temp_High.OA_High.Salinity,Low,High,High,C,15,2
C3_Olarva_16,C3.larva,Low.Temp_High.OA_Low.Salinity,Low,High,Low,A,16,2
C4_Olarva_17,C4.larva,Low.Temp_High.OA_Low.Salinity,Low,High,Low,B,17,2
C5_Olarva_18,C5.larva,Low.Temp_High.OA_Low.Salinity,Low,High,Low,C,18,2
C6_Olarva_19,C6.larva,High.Temp_Low.OA_Low.Salinity,High,Low,Low,A,19,2
C7_Olarva_20,C7.larva,High.Temp_Low.OA_Low.Salinity,High,Low,Low,B,20,2
C8_Olarva_21,C8.larva,High.Temp_Low.OA_Low.Salinity,High,Low,Low,C,21,2
C9_Olarva_22,C9.larva,Low.Temp_Low.OA_Low.Salinity,Low,Low,Low,A,22,2
C10_Olarva_23,C10.larva,Low.Temp_Low.OA_Low.Salinity,Low,Low,Low,B,23,2
C11_Olarva_24,C11.larva,Low.Temp_Low.OA_Low.Salinity,Low,Low,Low,C,24,2
