"OA","Salinity","emmean","SE","df","lower.CL","upper.CL",".group"
"High","Low",67.7103232495667,0.371037235852599,16,66.9237594470744,68.4968870520591," a  "
"Low","Low",72.4732548980334,0.3710372358526,16,71.6866910955411,73.2598187005258,"  b "
"High","High",72.6815008439334,0.371037235852599,16,71.8949370414411,73.4680646464257,"  b "
"Low","High",75.6455786966001,0.371037235852599,16,74.8590148941077,76.4321424990924,"   c"
