"OA","Temp","emmean","SE","df","lower.CL","upper.CL",".group"
"High","High",94.2315485042816,4.45439962820462,16,84.7886431276015,103.674453880962," a  "
"High","Low",95.3678250899165,4.37688546357214,16,86.0892424016054,104.646407778228," ab "
"Low","Low",104.047555274407,4.35560879385606,16,94.8140771109766,113.281033437837,"  b "
"Low","High",123.508545772055,4.34417012049993,16,114.299316512889,132.717775031222,"   c"
