"","Df","SumOfSqs","R2","F","Pr(>F)"
"OA",1,2014.35405835724,0.071694833951889,4.87951050921898,0.055
"Temp",1,8339.47422225087,0.296818335947324,20.2012908008932,0.001
"Salinity",1,6000.14792077837,0.213557098903358,14.5345773325387,0.003
"OA:Temp",1,584.960453034262,0.0208198962713215,1.41699055645955,0.272
"OA:Salinity",1,17.0624383243448,0.000607285833095239,0.041331535918983,0.858
"Temp:Salinity",1,5547.56514474397,0.197448785251818,13.4382544677528,0.004
"OA:Temp:Salinity",1,226.013554791749,0.00804426819329141,0.547488417568296,0.48
"Residual",13,5366.64542666095,0.191009495647902,NA,NA
"Total",20,28096.2232189418,1,NA,NA
