"OA","Temp","emmean","SE","df","lower.CL","upper.CL",".group"
"High","High",74.6689340441681,1.6211822126765,16,71.2321812805119,78.1056868078242," a  "
"High","Low",77.715738903586,1.57695819626705,16,74.3727368666691,81.0587409405029," a  "
"Low","Low",81.7650072974933,1.49989303603767,16,78.585376102132,84.9446384928546,"  b "
"Low","High",88.6614636302498,1.57014598759053,16,85.3329028306057,91.990024429894,"   c"
