Date,Channel,Lpc,Leq,Lz,alpha,Notes,Filename
4/30/2021,CH1,-0.003278979,-0.00333703,-0.00337108,0.4,20210319_new_sensor_7,1_3_19_21_new_sensor_for_7_raw.txt
4/30/2021,CH2,-0.00130134,-0.00123203,-0.001220671,0.4,20210319_new_sensor_7,1_3_19_21_new_sensor_for_7_raw.txt
4/30/2021,CH3,-0.002931973,-0.00307619,-0.00307619,0.4,20210319_new_sensor_7,1_3_19_21_new_sensor_for_7_raw.txt
4/30/2021,CH4,-0.0006248,2.48E-05,3.85E-05,0.4,20210319_new_sensor_7,1_3_19_21_new_sensor_for_7_raw.txt
4/30/2021,CH5,-0.004164072,-0.000836079,-0.000801891,0.4,20210319_new_sensor_7,1_3_19_21_new_sensor_for_7_raw.txt
4/30/2021,CH6,-0.002261692,-0.002777458,-0.002777458,0.4,20210319_new_sensor_7,1_3_19_21_new_sensor_for_7_raw.txt
4/30/2021,CH7,-0.001448917,-0.00055381,-0.00055381,0.4,20210319_new_sensor_7,1_3_19_21_new_sensor_for_7_raw.txt
4/30/2021,CH8,0.000869893,0.001191157,0.001324412,0.4,20210319_new_sensor_7,1_3_19_21_new_sensor_for_7_raw.txt
4/30/2021,CH1,0.001843434,0.001964329,0.001964329,0.4,20210319,1_3_19_21_raw.txt
4/30/2021,CH2,-0.000699026,-0.001400881,-0.001400881,0.4,20210319,1_3_19_21_raw.txt
4/30/2021,CH3,0.000710735,-0.000323173,-0.000323173,0.4,20210319,1_3_19_21_raw.txt
4/30/2021,CH4,0.003329132,0.002890708,0.002890708,0.4,20210319,1_3_19_21_raw.txt
4/30/2021,CH5,0.001352044,0.008358963,0.001402364,0.4,20210319,1_3_19_21_raw.txt
4/30/2021,CH6,0.00388863,0.00388863,0.00388863,0.4,20210319,1_3_19_21_raw.txt
4/30/2021,CH7,-0.084417421,-0.082531043,-0.082531043,0.4,20210319,1_3_19_21_raw.txt
4/30/2021,CH8,-0.000659674,-0.000862961,0.001979023,0.4,20210319,1_3_19_21_raw.txt
4/30/2021,CH1,-0.00655935,-0.006621841,-0.007563984,0.4,20210430_LOWtemp_HIGHsal,13_15_10_12 low_temp_hgh_salinity_raw.txt
4/30/2021,CH2,-0.00889906,-0.008880168,-0.008936041,0.4,20210430_LOWtemp_HIGHsal,13_15_10_12 low_temp_hgh_salinity_raw.txt
4/30/2021,CH3,-0.002472497,-0.002570253,-0.002570253,0.4,20210430_LOWtemp_HIGHsal,13_15_10_12 low_temp_hgh_salinity_raw.txt
4/30/2021,CH4,6.70E-05,-0.000329066,-0.000324689,0.4,20210430_LOWtemp_HIGHsal,13_15_10_12 low_temp_hgh_salinity_raw.txt
4/30/2021,CH5,-0.003800567,-0.005222185,-0.005222185,0.4,20210430_LOWtemp_HIGHsal,13_15_10_12 low_temp_hgh_salinity_raw.txt
4/30/2021,CH6,-0.022158947,-0.081710811,-0.081710811,0.4,20210430_LOWtemp_HIGHsal,13_15_10_12 low_temp_hgh_salinity_raw.txt
4/30/2021,CH7,-0.055956934,-0.063246854,-0.063246854,0.4,20210430_LOWtemp_HIGHsal,13_15_10_12 low_temp_hgh_salinity_raw.txt
4/30/2021,CH8,-0.037907839,-0.03920159,-0.03920159,0.4,20210430_LOWtemp_HIGHsal,13_15_10_12 low_temp_hgh_salinity_raw.txt
4/30/2021,CH1,-0.00563015,-0.005696772,-0.005696772,0.4,20210430_LOWtemp_LOWsal,16_17 22_24 low_temp_low_salinity_raw.txt
4/30/2021,CH2,-0.008938362,-0.010004747,-0.010004747,0.4,20210430_LOWtemp_LOWsal,16_17 22_24 low_temp_low_salinity_raw.txt
4/30/2021,CH3,-0.055574639,-0.011091251,-0.011091251,0.4,20210430_LOWtemp_LOWsal,16_17 22_24 low_temp_low_salinity_raw.txt
4/30/2021,CH4,-0.002059069,-0.001898949,-0.001898949,0.4,20210430_LOWtemp_LOWsal,16_17 22_24 low_temp_low_salinity_raw.txt
4/30/2021,CH5,-0.008501105,-0.008214377,-0.008243769,0.4,20210430_LOWtemp_LOWsal,16_17 22_24 low_temp_low_salinity_raw.txt
4/30/2021,CH6,-0.028408031,-0.027538,-0.027538,0.4,20210430_LOWtemp_LOWsal,16_17 22_24 low_temp_low_salinity_raw.txt
4/30/2021,CH7,-0.08726089,-0.040645933,-0.034207535,0.4,20210430_LOWtemp_LOWsal,16_17 22_24 low_temp_low_salinity_raw.txt
4/30/2021,CH8,-0.00058328,-0.000642243,-0.000614292,0.4,20210430_LOWtemp_LOWsal,16_17 22_24 low_temp_low_salinity_raw.txt
4/30/2021,CH1,-0.008361563,-0.00799658,-0.00799658,0.4,20210430_raw,4_6_7_9 April_30_2021_raw.txt
4/30/2021,CH2,-0.00937533,-0.009179286,-0.009179286,0.4,20210430_raw,4_6_7_9 April_30_2021_raw.txt
4/30/2021,CH3,-0.008763017,-0.015677866,-0.008877406,0.4,20210430_raw,4_6_7_9 April_30_2021_raw.txt
4/30/2021,CH4,0.000540616,0.000566451,0.000566451,0.4,20210430_raw,4_6_7_9 April_30_2021_raw.txt
4/30/2021,CH5,-0.011743718,-0.010986912,-0.010944198,0.4,20210430_raw,4_6_7_9 April_30_2021_raw.txt
4/30/2021,CH6,-0.008202333,-0.008159264,-0.008159264,0.4,20210430_raw,4_6_7_9 April_30_2021_raw.txt
4/30/2021,CH7,-0.069457572,-0.060140525,-0.060140525,0.4,20210430_raw,4_6_7_9 April_30_2021_raw.txt
4/30/2021,CH8,0.000600002,0.000583058,0.000583058,0.4,20210430_raw,4_6_7_9 April_30_2021_raw.txt
5/7/2021,CH1,0.002539249,0.002165137,0.002165137,0.4,20210507_HIGHtemp_LOWsal,may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt
5/7/2021,CH2,-0.003282826,-0.003268269,-0.003446503,0.4,20210507_HIGHtemp_LOWsal,may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt
5/7/2021,CH3,NA,NA,NA,NA,NA,NA
5/7/2021,CH4,-0.000105101,-0.000261977,-0.000497404,0.4,20210507_HIGHtemp_LOWsal,may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt
5/7/2021,CH5,0.006144117,0.004716681,0.004716681,0.4,20210507_HIGHtemp_LOWsal,may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt
5/7/2021,CH6,0.00516516,0.006393528,0.006393528,0.4,20210507_HIGHtemp_LOWsal,may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt
5/7/2021,CH7,0.00253001,0.002398587,-0.010424307,0.4,20210507_HIGHtemp_LOWsal,may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt
5/7/2021,CH8,-7.54E-05,-1.75E-05,0.000160443,0.4,20210507_HIGHtemp_LOWsal,may 7 2021 high temp low salinity 7-8 and 19-20-21_raw.txt
5/7/2021,CH1,-0.000877073,-0.000384475,-0.000384475,0.4,20210507_LOWtemp_LOWsal,May_7_2021_16-17_andd_22-23_low_temp_low_salinity_raw.txt
5/7/2021,CH2,-0.002903201,-0.003037202,-0.002140582,0.4,20210507_LOWtemp_LOWsal,May_7_2021_16-17_andd_22-23_low_temp_low_salinity_raw.txt
5/7/2021,CH3,-0.003468189,-0.005586729,-0.005586729,0.4,20210507_LOWtemp_LOWsal,May_7_2021_16-17_andd_22-23_low_temp_low_salinity_raw.txt
5/7/2021,CH4,5.15E-05,-0.001277955,-0.001306818,0.4,20210507_LOWtemp_LOWsal,May_7_2021_16-17_andd_22-23_low_temp_low_salinity_raw.txt
5/7/2021,CH5,-0.000859437,-0.0033265,-0.003890017,0.4,20210507_LOWtemp_LOWsal,May_7_2021_16-17_andd_22-23_low_temp_low_salinity_raw.txt
5/7/2021,CH6,-0.002795023,-0.002795023,-0.002795023,0.4,20210507_LOWtemp_LOWsal,May_7_2021_16-17_andd_22-23_low_temp_low_salinity_raw.txt
5/7/2021,CH7,-0.000440872,-0.000172215,-5.99E-05,0.4,20210507_LOWtemp_LOWsal,May_7_2021_16-17_andd_22-23_low_temp_low_salinity_raw.txt
5/7/2021,CH8,0.00089899,0.001328571,0.001328571,0.4,20210507_LOWtemp_LOWsal,May_7_2021_16-17_andd_22-23_low_temp_low_salinity_raw.txt
5/7/2021,CH1,-0.011564858,-0.007502673,-0.007502673,0.4,20210507_HIGHtemp_HIGHsal,may_7_2021_high_temp_high_salinity_1-2-3-_and_4-5-6_raw.txt
5/7/2021,CH2,-0.004969141,-0.005216607,-0.005216607,0.4,20210507_HIGHtemp_HIGHsal,may_7_2021_high_temp_high_salinity_1-2-3-_and_4-5-6_raw.txt
5/7/2021,CH3,-0.035899482,-0.031515256,-0.031515256,0.4,20210507_HIGHtemp_HIGHsal,may_7_2021_high_temp_high_salinity_1-2-3-_and_4-5-6_raw.txt
5/7/2021,CH4,0.000726903,0.000871277,0.000490186,0.4,20210507_HIGHtemp_HIGHsal,may_7_2021_high_temp_high_salinity_1-2-3-_and_4-5-6_raw.txt
5/7/2021,CH5,-0.007924833,-0.008224845,-0.008224845,0.4,20210507_HIGHtemp_HIGHsal,may_7_2021_high_temp_high_salinity_1-2-3-_and_4-5-6_raw.txt
5/7/2021,CH6,-0.006333744,-0.006801523,-0.006432961,0.4,20210507_HIGHtemp_HIGHsal,may_7_2021_high_temp_high_salinity_1-2-3-_and_4-5-6_raw.txt
5/7/2021,CH7,-0.003736825,-0.001076464,-0.001076464,0.4,20210507_HIGHtemp_HIGHsal,may_7_2021_high_temp_high_salinity_1-2-3-_and_4-5-6_raw.txt
5/7/2021,CH8,0.001633517,0.002239608,0.002239608,0.4,20210507_HIGHtemp_HIGHsal,may_7_2021_high_temp_high_salinity_1-2-3-_and_4-5-6_raw.txt
5/7/2021,CH1,0.030890466,0.030890466,0.030890466,0.4,20210507_LOWtemp_HIGHsal_b,may_7_2021_low_temo_10-12_ans_13-15_high_sal_b_raw.txt
5/7/2021,CH2,-0.010392813,-0.013774938,-0.013774938,0.4,20210507_LOWtemp_HIGHsal_b,may_7_2021_low_temo_10-12_ans_13-15_high_sal_b_raw.txt
5/7/2021,CH3,-0.003993714,-0.003993714,-0.032234687,0.4,20210507_LOWtemp_HIGHsal_b,may_7_2021_low_temo_10-12_ans_13-15_high_sal_b_raw.txt
5/7/2021,CH4,0.013850357,-0.003140952,-0.003140952,0.4,20210507_LOWtemp_HIGHsal_b,may_7_2021_low_temo_10-12_ans_13-15_high_sal_b_raw.txt
5/7/2021,CH5,0.000260625,0.000260625,0.000260625,0.4,20210507_LOWtemp_HIGHsal_b,may_7_2021_low_temo_10-12_ans_13-15_high_sal_b_raw.txt
5/7/2021,CH6,0.003255858,0.004427842,0.004427842,0.4,20210507_LOWtemp_HIGHsal_b,may_7_2021_low_temo_10-12_ans_13-15_high_sal_b_raw.txt
5/7/2021,CH7,-0.000180185,-0.000180185,-0.000180185,0.4,20210507_LOWtemp_HIGHsal_b,may_7_2021_low_temo_10-12_ans_13-15_high_sal_b_raw.txt
5/7/2021,CH8,0.002771149,0.002771149,0.002771149,0.4,20210507_LOWtemp_HIGHsal_b,may_7_2021_low_temo_10-12_ans_13-15_high_sal_b_raw.txt
5/7/2021,CH1,0.009629311,-0.008590883,-0.008590883,0.4,20210507_LOWtemp_HIGHsal,may_7_2021_low_temo_10-12_ans_13-15_high_sal_raw.txt
