"category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"GO:0009058",0.00813634526631233,0.997301668984533,10,3011,"biosynthetic process","BP"
"GO:0034641",0.0111150293357603,0.996372975386817,9,2677,"cellular nitrogen compound metabolic process","BP"
"GO:0005576",0.0179319166093549,0.997694429350724,3,405,"extracellular region","CC"
