"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_2","Rich_Factor"
"1","crg00190","Oxidative phosphorylation","7/89","84/4426",0.00135233156891321,0.0481926971859971,0.0451806536118723,"105332292/105346116/105319696/105332143/105330603/105344651/109618245",7,"7 of 89",0.0833333333333333
"2","crg04144","Endocytosis","11/89","193/4426",0.00150602178706241,0.0481926971859971,0.0451806536118723,"105325532/105321017/105328967/105331012/105334480/105339682/105342944/105345381/105334326/105334890/105327336",11,"11 of 89",0.0569948186528497
