Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,
246.23,304.39,299.78,325.72,166.45,267.82,,202.02,,,112.38,165.93,104.77,124.29,,,,,336.34,251.87,130.83,112.98,112.2,119.5,
334.54,158.77,247.27,222.01,303.33,263.91,,244.05,,,118.52,114.05,99.42,123.23,,,,,309.92,238.57,119.11,116.46,124.81,105.72,
322.2,314.78,311.37,253.05,263.03,266.59,,90.54,,,124.64,131.86,108.08,104.46,,,,,346.94,228.15,144.56,81.73,119.87,108.89,
332.31,267.95,275.14,267.97,250.88,261.81,,90.25,,,145.83,138.25,107.26,119.88,,,,,229.6,276.39,131.74,104.28,127.52,103.07,
309.01,291.81,187.93,274.39,148.53,217.93,,123.19,,,108.86,123.93,107.44,122.14,,,,,234.91,260.4,191.76,137.09,128.58,128.53,
343.7,299.94,297.61,301.2,255.35,266.55,,221.44,,,150.81,133.01,106.94,107.86,,,,,316.17,252.11,147.86,164.49,140.11,,
325.55,329.07,349.9,358.39,180.2,183.8,,173.5,,,121,171.59,89.31,116.79,,,,,252.9,229.63,133.21,146.87,153.46,,
329.97,194.49,297.42,248.77,298.68,265.18,,233.87,,,107.57,128.97,99.03,92.25,,,,,203.7,232.8,257.73,180.71,122.52,,
306.05,285.29,302.31,316.05,193.19,334.13,,166.22,,,108.03,135.11,106.06,130.61,,,,,244.8,136.87,,148.7,145.27,,
307.98,338.51,254.87,326.21,266.67,317.42,,138.05,,,136.79,137.55,102.02,116.03,,,,,275,212.55,,128.75,138.11,,
286.9,348.46,309.79,303.57,239.09,158.9,,,,,124.31,164.8,107.62,128.43,,,,,252.81,111.49,,151.13,,,
331.95,360.85,336.23,247.36,165.44,190.04,,,,,150.42,153.98,112.3,120.38,,,,,262.99,142.68,,129.21,,,
340.9,304.94,353.23,132.3,236.51,121.65,,,,,125.69,117.26,,101.99,,,,,312.67,148.62,,101.37,,,
290.28,272.65,,286.51,220.02,347.6,,,,,,108.97,,105.32,,,,,222.76,213.8,,163.79,,,
361.27,261.12,,339.48,250.66,157.97,,,,,,161.67,,107.38,,,,,340.46,226.36,,126.69,,,
302.77,264.7,,323.68,228.74,242.36,,,,,,148.95,,124.73,,,,,303.28,271.38,,128.2,,,
310.32,309.46,,259.1,148.44,327.28,,,,,,154.2,,141.47,,,,,243.32,271.13,,109.75,,,
294.69,330.23,,328.92,358.46,300.59,,,,,,140.64,,105.99,,,,,312.43,161.81,,140.34,,,
341.18,287.97,,244.97,239.78,301.42,,,,,,154.32,,120.59,,,,,288.3,153.21,,128.09,,,
322.51,,,289.2,291.4,275.46,,,,,,114.84,,110.5,,,,,224.4,,,146.8,,,
315.81,,,294.42,228.06,298.4,,,,,,153.92,,108.76,,,,,328.41,,,146.52,,,
307.41,,,169.33,177.49,275.46,,,,,,124.62,,128.42,,,,,181.83,,,157.34,,,
293.08,,,348.75,236.76,295.51,,,,,,92.97,,95.01,,,,,186.82,,,143.06,,,
308.23,,,283.8,168.63,267.52,,,,,,123.87,,101.39,,,,,308.05,,,,,,
307.87,,,320.92,241.36,232.91,,,,,,,,,,,,,209.13,,,,,,
,,,161.03,175.1,308.41,,,,,,,,,,,,,296.44,,,,,,
,,,322.29,173.05,321.16,,,,,,,,,,,,,167.89,,,,,,
,,,167.29,234.39,232.24,,,,,,,,,,,,,256.49,,,,,,
,,,220.63,251.37,273.24,,,,,,,,,,,,,183.82,,,,,,
,,,162.13,275.54,132.44,,,,,,,,,,,,,303.54,,,,,,
,,,222.86,217.34,191.33,,,,,,,,,,,,,311.17,,,,,,
,,,,,,,,,,,,,,,,,,127.22,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
