Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24
209.49,136.46,132.3,129.88,103.89,111.85,82.95,109.2,85.4,87.42,129.85,124.11,84.02,113.02,109.88,80.19,90.37,85.02,126.27,89.47,84.28,86.77,102.28,122.13
104.61,162.06,108.54,107.36,110.84,96.91,82.95,110.97,83.3,83.02,82.06,119.44,88.89,98.38,104.2,77.42,75.11,85.36,127.73,97.43,100.31,91.31,114.71,96.2
193.28,182.5,108.85,116.72,81.11,85.02,79.25,105.3,88.89,103.82,105.69,126.21,94.12,124.09,106.12,78.37,89.47,95.58,122.46,83,107.31,88.95,107.11,124.2
160.61,130.32,120.42,112.57,109.71,113.49,79.1,88.74,76.4,89.2,120.59,109.24,89.25,107.05,92.94,78.01,78.16,91.81,95.03,95.03,98.73,68.76,114.52,80.19
163.82,97.4,110.24,144.59,95.95,105.69,81.48,76.19,83.3,89.07,131.95,126.68,106.45,115.86,77.85,75.11,86.8,77.08,117.39,97.38,108.8,106.99,116.84,89.2
143.26,134.67,140.18,111.97,95.99,99.78,79.92,95.37,79.37,93.76,126.21,121.46,93.71,112.42,81.69,79.37,,80.64,136.7,88.99,113.71,94.97,110.5,86.68
145.46,136.85,193.01,102.94,87.33,75.11,84.28,81.23,,97.36,117.1,120.75,80.56,121.36,120.71,88.4,,90.16,131.56,107.97,90.12,81.1,109.55,80.6
150.14,151.37,109.36,112.57,94.86,92.7,71.2,102.27,,87.52,110.3,116.02,87.75,120.16,82.95,79.9,,94.25,123.57,80.24,103.63,86.88,116.66,70.96
196.37,92.05,110.82,144.7,83.46,105.37,76.22,76.02,,96.3,123.12,133.18,88.4,100.66,102.92,73.51,,96.91,107.11,93.76,146.83,122.51,110.83,82.48
86.85,143.03,100.43,111.28,119.36,87.76,78.01,79.56,,90.34,128.05,113.1,85.49,129.24,102.23,76.9,,71.74,106.49,103.82,103.36,110.5,110.62,76.67
132.61,118.42,147.86,116.2,109.36,119.98,74.87,86.6,,100.98,119.83,125.26,97.03,118.39,104.74,71.13,,88.4,143.7,75.28,103.49,80.64,120.04,73.18
154.36,114.82,121.23,115.95,127.92,97.38,75.41,83.64,,106.03,121.65,126.68,94.34,109.5,97.55,76.9,,95.94,142.82,80.76,83.92,101.62,85.15,73.45
133.87,164.9,144.86,91.55,85.89,118.39,,88.72,,73.02,115.5,114.1,100.22,102.7,92.14,71.21,,86.85,92.63,82.62,120.04,99.74,101.62,80.55
176.75,171.73,107.05,138.78,85.04,105.85,,89.11,,,119.4,120.21,83.98,110.97,106.4,,,88.69,170.15,84.56,89.13,105.81,115.71,81.98
202.31,103.54,116.05,117.9,129.69,102.75,,70.26,,,102.01,130.13,85.35,115.65,121.89,,,104.2,113.02,89.47,95.27,88.66,117.39,79.36
149.86,147.93,133.29,113.55,121.38,108.19,,78.86,,,111.14,125.02,98.42,119.98,107.05,,,79.68,103.27,89.25,87.15,,126.35,
148.78,150.61,163.21,145.79,75.68,101.62,,70.19,,,120.81,86.16,100.36,111.37,95.05,,,91.12,126.27,119.98,84,,130.91,
122.71,179.15,125.29,105.34,74.74,122.25,,87.97,,,131.33,99.06,81.93,116.84,81.62,,,93.87,125.98,109.49,78.43,,109.86,
190.77,194.52,125.03,104.49,82.72,90.36,,81.65,,,100.82,88.49,86.43,121.65,84.21,,,100.2,95.34,90.88,84.67,,117.74,
237.12,156.04,174,138.4,98.83,103.8,,104.24,,,125.9,87.75,96.21,114.01,90.55,,,96.2,118.08,82.72,118.27,,130.11,
216.15,128.22,88.95,169.7,102.06,97.32,,76.49,,,112.07,102.61,91.32,128.23,80.76,,,90.23,83.04,81.48,96.03,,117.64,
141.42,151.16,100.43,105.41,121,90.34,,103.11,,,128.81,118.09,98.99,115.45,85.15,,,107.65,123.64,82.46,86.13,,130.18,
199.94,100.2,162.25,,132.77,95.11,,81.14,,,148.05,110.83,99.2,121,81.26,,,95.21,139.12,,86.37,,132.78,
203.2,160.42,97.38,,75.89,102.11,,87.8,,,107.96,115.76,85.85,118.76,93.42,,,93.62,158.55,,116.91,,121,
146.68,132.49,132.75,,100.36,115.8,,105.98,,,130.9,114.42,93.62,98.92,88,,,93.88,93.19,,88.78,,108.05,
151.93,127.31,126.69,,113.24,100.54,,91.42,,,133.1,127.92,95.8,119.88,122.89,,,89.08,134.43,,92.95,,131.6,
120.41,,148.29,,100.59,114.7,,87.86,,,109.67,110.61,84.4,111.28,88.75,,,91.31,130.02,,95.52,,102,
169.66,,106.56,,70.93,97.36,,88.88,,,119.11,125.81,76.4,111.28,89.36,,,100.59,108.76,,,,120.73,
117.59,,165.96,,,106.55,,70.26,,,129.7,120.49,99.13,106.76,92.83,,,95.7,112.66,,,,103.7,
133.67,,145.79,,,93.55,,,,,129.13,111.93,97.38,118.61,,,,97.55,,,,,124.95,
154.97,,87.74,,,87.79,,,,,110.5,104.91,93.36,110.71,,,,86.68,,,,,126.69,
141.43,,120.36,,,85.91,,,,,106.71,100.64,,113.71,,,,100.7,,,,,113.02,
122.51,,125.43,,,,,,,,112.57,100.01,,129.12,,,,109.14,,,,,113.95,
,,149.49,,,,,,,,131.33,,,114.01,,,,76.2,,,,,119.77,
,,133.04,,,,,,,,113.44,,,120.5,,,,92.75,,,,,,
,,133.04,,,,,,,,116.21,,,102.35,,,,88.46,,,,,,
,,76.53,,,,,,,,117.5,,,,,,,93.07,,,,,,
,,76.53,,,,,,,,107.65,,,,,,,98.69,,,,,,
,,110.39,,,,,,,,,,,,,,,81.78,,,,,,
,,110.39,,,,,,,,,,,,,,,102,,,,,,
,,98.39,,,,,,,,,,,,,,,,,,,,,
,,123.9,,,,,,,,,,,,,,,,,,,,,
