Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24
288.81,188.92,221.67,144.6,168.78,135.35,114.65,89.84,,84.94,111.1,131.42,96.66,113.27,86.65,,,104.32,170.68,103.16,112.12,114.04,110.71,105.31
242.48,133.85,145.27,203.06,139.69,109.05,87.19,,,115.84,94.04,134.01,80.14,113.09,93.91,,,104.72,121.33,96.99,94.59,90.89,121.08,81.31
290.4,198.73,212.93,225.79,145.46,168.57,,,,107.8,78,107.16,80.97,104.02,100.77,,,108.27,130.07,103.22,95.04,119.16,130.25,
280.06,237.34,155.11,163.92,175.07,143.64,,,,96.54,132.89,104.61,75.63,127,112.81,,,89.03,142.35,129.04,120.49,117.75,144.86,
263.08,226.32,200.1,227.35,163.6,141.3,,,,82.83,136.87,130.43,109.24,117.13,95.51,,,125.76,137.34,95.2,118.95,93.4,116.29,
233.97,182.72,201.7,141.43,136.39,154.76,,,,95.49,86.21,98.25,102.91,114.34,94.86,,,92,131.15,107.42,88.81,165.96,126.44,
185.43,253.82,146.45,150.11,147.19,170.22,,,,96.8,87.19,114.11,93.64,103.99,90.36,,,107.02,189.24,132.53,95.73,84.54,121.31,
122.09,185.45,129.75,109.26,157.47,134.11,,,,75.36,116.36,138.1,106.57,100.36,102.09,,,112.5,130.54,96.91,90.04,126.12,147.89,
134,136.57,173.14,143.43,167.01,127.87,,,,89.65,,146.95,99.89,130.7,95.57,,,90.79,159.03,103.56,106.2,114.42,102.52,
115.94,176.08,164.82,200.23,99.97,209.51,,,,86.07,,131.14,89.31,96.98,115.82,,,102.61,152.25,109.47,83.66,103.62,127.33,
186.01,195.27,111.11,216.71,111.8,144.99,,,,109.48,,146.18,81.83,93,102.26,,,112.65,199.81,87.84,103.24,102.61,121.17,
208.6,143.89,203.49,140.47,131.14,162.53,,,,103.87,,142.89,91.31,118.57,94.73,,,100.29,168.28,99.09,101.66,101.09,130.5,
191.72,132.59,238.48,169.1,109.34,121.56,,,,97.32,,105.6,91.24,137,82.66,,,98.44,162.72,88.73,123.44,103.87,160.85,
247.2,336.72,134.47,112.54,98.91,180.24,,,,91.97,,106.28,94.22,82.42,130.43,,,100.92,131.57,99.36,78.5,108.7,138.17,
230.09,310.91,241.97,233.52,132.63,131.71,,,,80.89,,118.23,123.08,125.33,92.46,,,104.38,164.07,97.85,124.89,150.44,124.61,
226.08,199.99,182.04,123.75,118.19,132.64,,,,87.45,,82,103.03,116.65,89.56,,,101.54,244.35,90.73,,91.3,112.92,
212.25,148.64,209.59,184.62,119.3,170.1,,,,88.97,,132.33,88.8,119.97,85.38,,,93.31,134.7,120.76,,142.17,123.24,
167.73,201.68,218.8,150.18,96.56,149.47,,,,86.55,,142.07,102.56,85.28,121.49,,,111.95,158.11,102.28,,133.03,121.49,
222.28,144.63,189.85,229.94,121.25,132.38,,,,77.15,,118.67,85.09,,89.79,,,104.57,167.69,,,83.27,,
283.12,211.19,154.82,112.26,123.63,127.62,,,,,,133.24,79.3,,95.07,,,104.76,238.82,,,,,
152.05,140.23,212.01,169.68,147.36,110.35,,,,,,143.04,101.69,,108.94,,,92.87,136.06,,,,,
211.31,164.28,216.22,178.79,109.81,114.22,,,,,,139.76,78.2,,93.59,,,98.08,202.65,,,,,
235.15,198.6,182.62,182.8,106.17,153.48,,,,,,115.92,92.09,,,,,95.09,134.3,,,,,
171.23,144.85,257.64,220.55,79.4,102.77,,,,,,134.02,113.09,,,,,111.21,143.58,,,,,
258.3,244.05,195.7,179.32,108.9,123.47,,,,,,129.82,95.69,,,,,107.29,213.91,,,,,
259.92,200.9,111.39,,94,116.62,,,,,,114.54,,,,,,92.07,151.55,,,,,
225.05,141.26,195.55,,112.79,122.79,,,,,,91.64,,,,,,111.49,189.9,,,,,
230.53,164.47,208.32,,108.91,149,,,,,,126.31,,,,,,73.91,,,,,,
,193,202.03,,127.36,108.85,,,,,,125.17,,,,,,108.14,,,,,,
,135.94,,,116.21,125.69,,,,,,129.12,,,,,,81.7,,,,,,
,218.56,,,160.5,129.42,,,,,,134.05,,,,,,86.48,,,,,,
,208.76,,,,155.54,,,,,,118.42,,,,,,99.3,,,,,,
,136.57,,,,154.84,,,,,,,,,,,,100,,,,,,
,228.92,,,,125.76,,,,,,,,,,,,91.02,,,,,,
,156.99,,,,,,,,,,,,,,,,122.88,,,,,,
,,,,,,,,,,,,,,,,,96.54,,,,,,
,,,,,,,,,,,,,,,,,108.7,,,,,,
,,,,,,,,,,,,,,,,,76.03,,,,,,
,,,,,,,,,,,,,,,,,105.71,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
