"","MEblack","MEblue","MEbrown","MEgreen","MEgreenyellow","MEgrey","MEmagenta","MEpink","MEpurple","MEred","MEtan","MEturquoise","MEyellow"
"A12.larva",-0.677653858866353,0.0799952766177436,0.0608097324266655,0.142585927312089,0.0820686493771746,0.340582657670187,0.0894170785819303,-0.193419634900844,-0.190552203249234,-0.175226120069911,-0.0521271593782368,0.095914718461599,-0.00860989358834584
"B1.larva",0.0362657427604821,0.11575371649172,0.210323832258832,0.128280412306133,0.250621275399464,0.101853134287178,0.205109470600681,-0.314456183929557,-0.328554221375661,-0.277682036536717,-0.481850242624543,-0.0943700565153598,-0.789722148941863
"B2.larva",-0.231275382822659,0.130712501105044,0.0394675666439995,0.226848552654918,0.0480615140792062,0.265396357911483,0.211229708366262,0.142827280862647,0.234850462857732,-0.225587343627411,0.22983112487679,0.203197661731256,0.0907369032005758
"B3.larva",-0.298450319997328,0.195497955342369,0.313400139032727,0.204859920768764,-0.341609039570772,-0.0340338160639864,0.277856647977644,0.343017974894622,-0.557717445527011,-0.276873871415174,0.369237682068232,-0.151409365206147,0.244390464718815
"B4.larva",0.0058689443507346,0.0480902392244175,0.270963595592841,0.0424135562513502,-0.564856300376247,-0.425887687418201,0.119316080283295,0.0310730661220985,0.084228157719509,-0.489177515034989,0.198611200285198,0.370399304193847,0.0560579457201917
"B5.larva",0.448133030308261,0.158764855092617,0.477654726686143,0.0644565379806293,-0.17166974603664,-0.161364137201816,0.15695649924522,0.366756793568961,0.358575997883071,-0.0858039359380919,0.301303836353913,-0.795756542400626,0.172451910053805
"B6.larva",0.339638112767302,0.145719934425921,-0.252057609308016,-0.927035067481202,-0.220748307867006,0.273336009464062,-0.637044541802139,0.365302081185523,0.235634377184086,0.468583979765267,-0.474333037214452,-0.106688748411387,0.240876959262196
"B7.larva",-0.0199550241235135,0.0561832192347998,-0.174628655847903,0.0106174435527883,0.00500681706792018,-0.21353724018232,0.0457980793479163,0.221378188506292,0.319987319187945,0.329282004937136,0.273622375915373,0.186396947703682,0.183272265525194
"B8.larva",0.26742232309721,-0.934235388103072,-0.0944500655353544,0.0283859921888268,0.0118727889190543,0.388022622582129,-0.609254680013865,-0.206120996014954,-0.399333596687356,0.317400773792921,-0.351999445213791,0.0557276820547077,-0.387086628959005
"C7.larva",0.0520860933910139,0.0113732396368305,-0.219280345768744,0.0539823631966398,0.387816218209629,0.0336235862385913,0.0593566655052048,-0.577164444901156,0.062326402164251,0.246877259887856,-0.11072741089239,-0.0688388196263949,0.183807343042968
"C8.larva",0.0779203391348493,-0.00785554906839064,-0.63220291618119,0.0246043612690642,0.513436130798216,-0.567991487287306,0.0812589919078535,-0.179194125393633,0.180554749842667,0.168206804239115,0.098431075823905,0.305427218014822,0.0138248799654687
