"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0065003",4.53119760686346e-08,0.99999999512631,13,332,"protein-containing complex assembly","BP","pink","Day2"
"2","GO:0051276",4.57512439536752e-06,0.999999393581113,10,361,"chromosome organization","BP","pink","Day2"
"3","GO:0034641",7.84388768065215e-05,0.999966943433188,31,2677,"cellular nitrogen compound metabolic process","BP","pink","Day2"
"4","GO:0009058",0.000174228700971093,0.999920073244347,34,3022,"biosynthetic process","BP","pink","Day2"
"5","GO:0044281",0.00337728392861158,0.998783264606885,13,1051,"small molecule metabolic process","BP","pink","Day2"
"6","GO:0005694",6.50796003169496e-23,1,29,311,"chromosome","CC","pink","Day2"
"7","GO:0032991",6.90457230723328e-20,1,64,3519,"protein-containing complex","CC","pink","Day2"
"8","GO:0005737",3.98731881431572e-10,1,20,691,"cytoplasm","CC","pink","Day2"
"9","GO:0005634",7.9712697314235e-08,0.999999979472888,26,1230,"nucleus","CC","pink","Day2"
"10","GO:0005856",0.00130062947519996,0.999682448699132,9,959,"cytoskeleton","CC","pink","Day2"
"11","GO:0005840",0.00336902677364938,0.999064765373152,9,255,"ribosome","CC","pink","Day2"
"12","GO:0005730",0.00837293088730036,0.999191399141423,3,66,"nucleolus","CC","pink","Day2"
"13","GO:0005739",0.0285668705441329,0.990331191506781,7,350,"mitochondrion","CC","pink","Day2"
"14","GO:0003677",1.66756306868691e-08,0.999999995630338,31,1680,"DNA binding","MF","pink","Day2"
"15","GO:0051082",0.00407515561726217,0.99969843365903,3,53,"unfolded protein binding","MF","pink","Day2"
"16","GO:0005198",0.0135758193657218,0.998406710651221,3,179,"structural molecule activity","MF","pink","Day2"
"17","GO:0008135",0.014900381477516,0.998222213539167,3,66,"translation factor activity, RNA binding","MF","pink","Day2"
"18","GO:0003735",0.0299910901741286,0.99083427360007,6,176,"structural constituent of ribosome","MF","pink","Day2"
"19","GO:0016853",0.045368088157276,0.991623394070871,3,121,"isomerase activity","MF","pink","Day2"
