"","slim_term","slim_cat","GO_list","Gene_IDs","module_day"
"1","structural molecule activity","GO:0003735","GO:0003735","XM_022441035.1;XM_022458716.1;XM_022458848.1;XM_022459436.1;XM_022459437.1;XM_022464259.1;XM_022473390.1;XM_022476789.1;XM_022486957.1;XM_022487525.1","Day2_blue"
"2","catalytic activity, acting on a pro...","GO:0008233","GO:0008233","XM_022430727.1;XM_022430907.1;XM_022437244.1;XM_022440898.1;XM_022442213.1;XM_022448615.1;XM_022450957.1;XM_022450958.1;XM_022450959.1;XM_022451097.1;XM_022455675.1;XM_022456984.1;XM_022460498.1;XM_022461001.1;XM_022462249.1;XM_022462646.1;XM_022463070.1;XM_022463568.1;XM_022466797.1;XM_022469898.1;XM_022471959.1;XM_022473643.1;XM_022474389.1;XM_022474851.1;XM_022475987.1;XM_022476331.1;XM_022476334.1;XM_022476404.1;XM_022476658.1;XM_022477432.1;XM_022482009.1;XM_022482785.1;XM_022483647.1;XM_022484544.1;XM_022487059.1;XM_022487957.1;XM_022488649.1;XM_022489051.1","Day2_blue"
"3","hydrolase activity","GO:0008233","GO:0008233;GO:0016887","XM_022430727.1;XM_022430907.1;XM_022433442.1;XM_022437244.1;XM_022440898.1;XM_022442213.1;XM_022448615.1;XM_022450957.1;XM_022450958.1;XM_022450959.1;XM_022451097.1;XM_022452973.1;XM_022455675.1;XM_022456984.1;XM_022459175.1;XM_022460498.1;XM_022461001.1;XM_022461486.1;XM_022462249.1;XM_022462646.1;XM_022463070.1;XM_022463568.1;XM_022466797.1;XM_022469898.1;XM_022470009.1;XM_022471959.1;XM_022473643.1;XM_022474389.1;XM_022474851.1;XM_022475987.1;XM_022476331.1;XM_022476334.1;XM_022476404.1;XM_022476658.1;XM_022477432.1;XM_022477699.1;XM_022482009.1;XM_022482785.1;XM_022483647.1;XM_022484544.1;XM_022487059.1;XM_022487957.1;XM_022488649.1;XM_022489051.1","Day2_blue"
"4","transferase activity","GO:0016765","GO:0016765","XM_022439855.1;XM_022462112.1;XM_022487069.1;XM_022488620.1","Day2_blue"
"5","molecular function regulator","GO:0030234","GO:0030234","XM_022435628.1;XM_022438777.1;XM_022439790.1;XM_022443094.1;XM_022443096.1;XM_022449988.1;XM_022455250.1;XM_022456086.1;XM_022456092.1;XM_022459024.1;XM_022461285.1;XM_022461853.1;XM_022467480.1;XM_022467573.1;XM_022468543.1;XM_022471169.1;XM_022471194.1;XM_022473317.1;XM_022476331.1;XM_022476334.1;XM_022478691.1;XM_022478788.1;XM_022480087.1;XM_022487808.1","Day2_blue"
