"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"1","XM_022441654.1","mRNA metabolic process",4.37037471129312e-05,"GO:0006397","mRNA processing","BP","black","LOC111106827"," U6 snRNA-associated Sm-like protein LSm3"
"2","XM_022445844.1","mRNA metabolic process",4.37037471129312e-05,"GO:0006397","mRNA processing","BP","black","LOC111109639"," small nuclear ribonucleoprotein F"
"3","XM_022445844.1","protein-containing complex assembly",0.0217443969194658,"GO:0022618","ribonucleoprotein complex assembly","BP","black","LOC111109639"," small nuclear ribonucleoprotein F"
"4","XM_022446537.1","mRNA metabolic process",4.37037471129312e-05,"GO:0006397","mRNA processing","BP","black","LOC111110150"," U6 snRNA-associated Sm-like protein LSm3"
"5","XM_022463499.1","mRNA metabolic process",4.37037471129312e-05,"GO:0006397","mRNA processing","BP","black","LOC111121987"," probable splicing factor 3B subunit 5"
"6","XM_022470306.1","protein-containing complex assembly",0.0217443969194658,"GO:0022618","ribonucleoprotein complex assembly","BP","black","LOC111125980"," U1 small nuclear ribonucleoprotein C-like"
"7","XM_022470306.1","mRNA metabolic process",4.37037471129312e-05,"GO:0006397","mRNA processing","BP","black","LOC111125980"," U1 small nuclear ribonucleoprotein C-like"
"8","XM_022474850.1","mRNA metabolic process",4.37037471129312e-05,"GO:0006397","mRNA processing","BP","black","LOC111128900"," U6 snRNA-associated Sm-like protein LSm6"
"9","XM_022475115.1","mRNA metabolic process",4.37037471129312e-05,"GO:0006397","mRNA processing","BP","black","LOC111129054"," U6 snRNA-associated Sm-like protein LSm6"
"10","XM_022487084.1","mRNA metabolic process",4.37037471129312e-05,"GO:0006397","mRNA processing","BP","black","LOC111136320"," small nuclear ribonucleoprotein G-like"
"11","XM_022487084.1","protein-containing complex assembly",0.0217443969194658,"GO:0022618","ribonucleoprotein complex assembly","BP","black","LOC111136320"," small nuclear ribonucleoprotein G-like"
