"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0003924",30,0.0496568863742968,0.978390957476942,9,437,"GTPase activity","MF","red","Day2","hydrolase activity","XM_022432764.1;XM_022433243.1;XM_022458068.1;XM_022464036.1;XM_022469089.1;XM_022478079.1;XM_022479284.1;XM_022481741.1;XM_022481857.1;XM_022483279.1;XM_022483423.1;XM_022484787.1;XM_022488232.1;XM_022490405.1"
"2","GO:0016779",24,0.011407941886327,0.997613905286642,5,216,"nucleotidyltransferase activity","MF","red","Day2","transferase activity","XM_022434903.1;XM_022446252.1;XM_022463552.1;XM_022477768.1;XM_022485706.1"
"3","GO:0016887",28,0.0401275766268758,0.988377999492294,5,437,"ATPase activity","MF","red","Day2","hydrolase activity","XM_022432764.1;XM_022433243.1;XM_022458068.1;XM_022464036.1;XM_022469089.1;XM_022478079.1;XM_022479284.1;XM_022481741.1;XM_022481857.1;XM_022483279.1;XM_022483423.1;XM_022484787.1;XM_022488232.1;XM_022490405.1"
