"","slim_term","slim_cat","GO_list","Gene_IDs","module_day"
"1","mRNA metabolic process","GO:0006397","GO:0006397","XM_022447390.1;XM_022449232.1;XM_022453791.1;XM_022457773.1;XM_022458726.1;XM_022461883.1;XM_022463317.1;XM_022464277.1;XM_022464900.1;XM_022465018.1;XM_022466084.1;XM_022467522.1;XM_022477485.1;XM_022485704.1","Day2_brown"
"2","intracellular protein transport","GO:0006605","GO:0006605","XM_022433392.1;XM_022441013.1;XR_002638562.1","Day2_brown"
