"","A1.spat","A2.spat","A3.spat","A4.spat","A5.spat","A6.spat","A7.spat","A8.spat","A9.spat","A10.spat","A11.spat"
"XM_022430339.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430340.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430341.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430342.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430343.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430344.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430345.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430346.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430347.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430348.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430349.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430350.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430351.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430352.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430353.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430354.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430355.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430356.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430357.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430358.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430359.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430360.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430361.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430362.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430363.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430364.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430365.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430366.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430367.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430368.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430369.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430370.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430371.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430372.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430373.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430374.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430375.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430376.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430377.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430378.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430379.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430380.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430381.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430382.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430383.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430384.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430385.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430386.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430387.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430388.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430389.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430390.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430391.1",43,50,81,83,59,96,46,93,14,48,29
"XM_022430392.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430393.1",0,0,0,0,71,0,76,64,0,28,0
"XM_022430394.1",364,597,718,930,1357,954,1131,1862,947,1237,1055
"XM_022430395.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430396.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430397.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430398.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430399.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430400.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430401.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430402.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430403.1",195,307,380,1238,957,406,1111,1109,692,1138,823
"XM_022430404.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430405.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430406.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430407.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430408.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430409.1",0,0,0,0,0,0,0,24,0,0,0
"XM_022430410.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430411.1",0,0,64,29,0,31,0,78,42,37,0
"XM_022430412.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430413.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430414.1",0,0,61,77,64,55,42,42,52,69,22
"XM_022430415.1",0,143,137,166,225,169,182,450,174,242,150
"XM_022430416.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430417.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430418.1",180,122,252,310,187,140,105,133,195,208,193
"XM_022430419.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430420.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430421.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430422.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430423.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430424.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430425.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430426.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430427.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430428.1",0,58,44,45,39,59,19,65,67,73,22
"XM_022430429.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430430.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430431.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430432.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430433.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430434.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430435.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430436.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430437.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430438.1",0,0,0,0,0,17,38,33,0,21,16
"XM_022430439.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430440.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430441.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430442.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430443.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430444.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430445.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430446.1",0,0,0,0,0,0,0,0,0,0,0
"XM_022430447.1",0,0,0,0,0,0,0,0,0,0,0
