Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24
1561.33,792.79,1212.68,1504.94,1719.24,722.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,729.08,511.96,832.52,NA,NA,NA
1616.28,1957.68,1432.97,858.19,1715.26,1361.43,,,,,,,,,,,,,1029.48,649.91,1079.16,,,
1501.14,806.26,997.79,1319.68,751.94,1346.53,,,,,,,,,,,,,990.18,679.04,,,,
1399.73,1408.8,1320.65,681.49,507.34,1097.2,,,,,,,,,,,,,1017.38,1138.81,,,,
1921.07,1705.88,1552.14,922.33,1516.97,771.76,,,,,,,,,,,,,897.25,1080.65,,,,
1877.67,2100.88,1044.65,466.58,706.83,766.29,,,,,,,,,,,,,859.38,905.2,,,,
1898.86,895.41,1579.61,1126.91,1430.47,1520.28,,,,,,,,,,,,,908.98,766.82,,,,
2202.65,1076.75,869.07,956.95,1019.23,1514.09,,,,,,,,,,,,,1001.09,867.79,,,,
857.52,1059.53,1715.87,813.52,749.5,1800.52,,,,,,,,,,,,,1275.18,1229.74,,,,
556.83,1216.65,935.83,952.94,568.74,958.72,,,,,,,,,,,,,885.44,887.62,,,,
2067.18,644.23,814.24,970.97,475.39,1201.03,,,,,,,,,,,,,464.71,362.58,,,,
1645.14,1240.88,1379.55,890.67,973.95,1617.62,,,,,,,,,,,,,1367.18,1202.93,,,,
1726.2,1077.59,1710.14,975.62,1239,554.24,,,,,,,,,,,,,1065.57,989.42,,,,
2219.28,997.47,895.71,791.84,1208.44,1913.1,,,,,,,,,,,,,1130.88,1143.42,,,,
1242.44,1263.05,756.89,1119.5,570.62,697.69,,,,,,,,,,,,,1001.64,1066.34,,,,
1852.09,1429.02,929.4,1026.57,1948.56,1305.26,,,,,,,,,,,,,1261.91,,,,,
1040.16,978.85,1535.62,1162.86,934.43,552.86,,,,,,,,,,,,,1344.45,,,,,
1717.05,1045.61,1461.21,1662.46,554,2079.58,,,,,,,,,,,,,587.4,,,,,
1290.71,,498.31,710.42,1555.82,655.9,,,,,,,,,,,,,819.4,,,,,
1204.25,,1250.77,1281.39,748.21,1382.13,,,,,,,,,,,,,1222.89,,,,,
1399.53,,565.86,1340.52,620.96,1265.31,,,,,,,,,,,,,1101.59,,,,,
2020.81,,1185.19,1807.91,1150.12,1554.85,,,,,,,,,,,,,778.28,,,,,
1166.33,,999.52,740.26,1317.48,1777.16,,,,,,,,,,,,,1166.78,,,,,
1049.99,,1901.51,1964.1,2353.77,2069.06,,,,,,,,,,,,,1151.5,,,,,
1615.94,,2001.12,1622.48,1347.68,618.69,,,,,,,,,,,,,427.15,,,,,
2251.28,,1255.01,863.36,1140.94,1634.17,,,,,,,,,,,,,959.97,,,,,
1207.56,,943.3,819.73,724.56,1935.01,,,,,,,,,,,,,1156.74,,,,,
2185.4,,1007.63,984.28,1196.34,1434.55,,,,,,,,,,,,,925.21,,,,,
1728.91,,1218.33,529.73,1301.66,1262.02,,,,,,,,,,,,,,,,,,
1496,,979.05,1235.77,797.2,1672.24,,,,,,,,,,,,,,,,,,
1581.71,,1284.01,1387.48,751.21,712.76,,,,,,,,,,,,,,,,,,
1905.53,,1748.3,1848.28,1243.96,1481.19,,,,,,,,,,,,,,,,,,
1250.24,,2136.97,1566.3,,1669.6,,,,,,,,,,,,,,,,,,
395.25,,1924.64,1174.05,,1415.39,,,,,,,,,,,,,,,,,,
379.5,,1864.91,1718.37,,1207.54,,,,,,,,,,,,,,,,,,
396.1,,1474.15,1191.73,,1427.48,,,,,,,,,,,,,,,,,,
368.69,,,1981.83,,928.19,,,,,,,,,,,,,,,,,,
1296.64,,,593.83,,557.55,,,,,,,,,,,,,,,,,,
1892.55,,,962.16,,2026.65,,,,,,,,,,,,,,,,,,
1410.36,,,1240.21,,629.36,,,,,,,,,,,,,,,,,,
1158.08,,,1791.05,,1459.54,,,,,,,,,,,,,,,,,,
1341.51,,,1160.79,,1121.84,,,,,,,,,,,,,,,,,,
1334.94,,,,,,,,,,,,,,,,,,,,,,,
1711.7,,,,,,,,,,,,,,,,,,,,,,,
1114.98,,,,,,,,,,,,,,,,,,,,,,,
