Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24
336.61,300.31,305.6,342.85,268.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
328.8,327.67,304.04,222,314.76,,,,,,,,,,,,,,,,,,,
330.16,336.03,335.33,272.06,335.23,,,,,,,,,,,,,,,,,,,
306.69,340.18,285.98,296,357.42,,,,,,,,,,,,,,,,,,,
317.83,328.74,368.11,369.55,335.94,,,,,,,,,,,,,,,,,,,
349.07,335.5,349.64,197.53,299.65,,,,,,,,,,,,,,,,,,,
325.01,308.87,323.3,270.66,289.03,,,,,,,,,,,,,,,,,,,
366.13,291.33,334.33,272.9,343.78,,,,,,,,,,,,,,,,,,,
272.06,283.9,306.77,234.05,275.76,,,,,,,,,,,,,,,,,,,
269.23,298.58,308.21,246.17,234.7,,,,,,,,,,,,,,,,,,,
360.51,295.68,333.01,169.83,280.81,,,,,,,,,,,,,,,,,,,
348.96,332.28,327.67,299.68,235.67,,,,,,,,,,,,,,,,,,,
354.5,322.99,323.87,316,294.57,,,,,,,,,,,,,,,,,,,
353.85,316.2,,255.93,281.03,,,,,,,,,,,,,,,,,,,
,349.66,,208.29,259.28,,,,,,,,,,,,,,,,,,,
,339.13,,349.87,354.99,,,,,,,,,,,,,,,,,,,
,298.21,,341.96,203.97,,,,,,,,,,,,,,,,,,,
,317.99,,312.48,301.02,,,,,,,,,,,,,,,,,,,
,309.51,,335.31,240.18,,,,,,,,,,,,,,,,,,,
,322.86,,,291.54,,,,,,,,,,,,,,,,,,,
,315.18,,,332.04,,,,,,,,,,,,,,,,,,,
,322.58,,,279.03,,,,,,,,,,,,,,,,,,,
,,,,278.22,,,,,,,,,,,,,,,,,,,
,,,,252.18,,,,,,,,,,,,,,,,,,,
,,,,313.53,,,,,,,,,,,,,,,,,,,
,,,,296.62,,,,,,,,,,,,,,,,,,,
,,,,330.76,,,,,,,,,,,,,,,,,,,
,,,,353.03,,,,,,,,,,,,,,,,,,,
,,,,320.43,,,,,,,,,,,,,,,,,,,
,,,,345.5,,,,,,,,,,,,,,,,,,,
,,,,262.39,,,,,,,,,,,,,,,,,,,
,,,,311.32,,,,,,,,,,,,,,,,,,,
,,,,237.1,,,,,,,,,,,,,,,,,,,
