Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24
95.34,78.86,93.19,72.62,63.47,50.49,78.31,85.91,71.58,76.8,89.68,93.95,75.11,97.32,79.68,78.86,80.64,76.03,95.26,83.32,84.14,83.35,76.5,86.63
65.62,115.61,90.48,74.51,85,88.22,83,68.53,87.43,91.55,73.13,94.68,83.46,87.51,79.92,73.65,56.82,71.03,96.91,80.64,90.63,73,72.62,81.74
83.16,87.76,86.7,73.41,65.07,80.98,68.76,76.8,54.82,91.69,88.93,80.62,78.37,79.17,72.14,78.27,68,73.41,93.5,75.28,95.97,82.72,72.14,85.96
91.94,98.07,83.87,80.24,74.97,88.42,73.89,88.74,75.49,85.86,87.32,80.19,89.21,99.61,73.24,76.03,77.33,57.9,108.92,69.72,67.74,79.48,74.74,71.66
79.92,91.05,93.56,79.92,68.78,63.11,75.91,60.1,49.56,80.19,75.45,87.11,89.73,96.38,66.84,66.39,75.74,67.36,91.94,87.51,92.39,70.28,79.68,80.19
92.36,97.14,87.41,79.03,66.91,88.55,81.24,68.84,70.38,74.47,86.72,73.4,66.65,88.95,79.92,70.85,71.29,69.78,94.48,78.66,85.49,80.64,93.36,86.01
91.94,88.15,96.24,80.62,77.87,85.27,77.14,73.34,82.39,88.66,81.26,77.08,81.48,91.12,84.14,80.35,64.9,66.12,105.08,69.78,93.5,78.37,91.48,68.53
100.64,89.58,,77.7,77.53,75.26,79.1,79.9,47.87,81.35,85.73,76.97,79.92,79.1,92.77,81.19,66.12,71.48,78.75,72.32,90.44,76.03,93.36,88.74
95.11,103.53,,63.11,90.02,86.03,63.72,83.71,64.69,87.96,74.59,90.93,81.95,82.88,83.37,71.42,,80.19,88.95,80.98,86.32,71.48,86.01,92.62
92,113.44,,67.36,67.7,72.32,64.07,74.57,,88.3,86.37,88.15,87,93,78.43,63.3,,69.95,93.76,77.87,90.88,54.7,75.45,82.04
103.75,90.16,,80.62,67.68,97.73,85.24,72.76,,82.36,86.41,88.74,86.18,99.49,87.18,73.6,,64.73,86.57,80.64,87.96,77.45,89.07,85.42
89.2,95.34,,70.41,83.97,,,,,97.63,72.08,83.46,84.97,86.32,85.68,,,71.5,61.88,77.7,,71.47,83.16,77.33
81.4,91.23,,69.78,82.46,,,,,87.96,73.84,84.88,84.42,88.4,70.03,,,86.72,80.62,73.28,,,82.11,81.48
73.12,78.49,,78.27,65.31,,,,,76.03,86.82,92.8,75.3,73.02,76.67,,,68.76,89.78,80.4,,,82.95,76.93
103.08,88.74,,73.24,71.42,,,,,92.16,73.81,87.51,75.39,87.51,81.08,,,71.2,100.59,84.28,,,78,77.53
86.18,93.56,,71.42,83.32,,,,,68.53,65.31,90.87,79.32,73,,,,75.82,88.99,86.58,,,91.01,77.03
81.67,95.15,,79.34,83.37,,,,,86.85,73.12,83.18,81.61,93.19,,,,81.67,86.7,80.19,,,103.41,73.55
117.3,109.13,,,67.08,,,,,85.02,74.88,95.44,,95.26,,,,66.8,89.2,83.37,,,74.97,75.3
,,,,86.85,,,,,,76.88,91.31,,,,,,80.12,82.06,99.13,,,98.66,85.27
,,,,,,,,,,84.88,82.53,,,,,,61.2,84.4,76.57,,,96.56,83.02
,,,,,,,,,,83.71,70.43,,,,,,83.63,69.22,,,,88.27,79.2
,,,,,,,,,,89.08,,,,,,,79.92,70.28,,,,78.14,83.09
,,,,,,,,,,72.91,,,,,,,69.76,91.23,,,,74.26,77.27
,,,,,,,,,,,,,,,,,81.35,106.71,,,,75.05,74.57
,,,,,,,,,,,,,,,,,70.28,75.51,,,,87.96,85.28
,,,,,,,,,,,,,,,,,71.5,98.38,,,,85.2,80.4
,,,,,,,,,,,,,,,,,,,,,,,83.71
,,,,,,,,,,,,,,,,,,,,,,,75.11
,,,,,,,,,,,,,,,,,,,,,,,80.29
