"","slim_term","slim_cat","GO_list","Gene_IDs","module_day"
"1","structural molecule activity","GO:0003735","GO:0003735","XM_022435531.1;XM_022442456.1;XM_022457605.1;XM_022459436.1;XM_022459437.1;XM_022464259.1;XM_022468134.1;XM_022471799.1;XM_022473888.1;XM_022477001.1;XM_022478637.1;XM_022482338.1;XM_022489606.1","Day18_blue"
"2","catalytic activity, acting on a pro...","GO:0008233","GO:0008233","XM_022433990.1;XM_022448200.1;XM_022448615.1;XM_022450959.1;XM_022451096.1;XM_022451097.1;XM_022455465.1;XM_022457492.1;XM_022460744.1;XM_022460918.1;XM_022461391.1;XM_022467542.1;XM_022473649.1;XM_022474851.1;XM_022484544.1;XM_022489329.1;XM_022489857.1","Day18_blue"
"3","hydrolase activity","GO:0008233","GO:0008233;GO:0016798","XM_022433002.1;XM_022433990.1;XM_022446722.1;XM_022448200.1;XM_022448615.1;XM_022450959.1;XM_022451096.1;XM_022451097.1;XM_022451104.1;XM_022451106.1;XM_022455465.1;XM_022457492.1;XM_022460744.1;XM_022460918.1;XM_022461046.1;XM_022461391.1;XM_022467246.1;XM_022467542.1;XM_022473649.1;XM_022474851.1;XM_022482782.1;XM_022484544.1;XM_022488230.1;XM_022489329.1;XM_022489626.1;XM_022489627.1;XM_022489857.1","Day18_blue"
"4","molecular function regulator","GO:0030234","GO:0030234","XM_022438778.1;XM_022439010.1;XM_022440677.1;XM_022442719.1;XM_022442725.1;XM_022445794.1;XM_022449986.1;XM_022453588.1;XM_022453596.1;XM_022454161.1;XM_022454290.1;XM_022456552.1;XM_022463767.1;XM_022464051.1;XM_022464064.1;XM_022467480.1;XM_022468543.1;XM_022473914.1;XM_022474430.1;XM_022476957.1;XM_022478691.1;XM_022478788.1;XM_022478810.1;XM_022487208.1","Day18_blue"
