"","TranscriptID","slim_term","over_represented_pvalue","GO_terms","term","ontology","moduleColor","GeneID","Protein_name"
"1","XM_022441849.1","intracellular protein transport",0.0170957744271582,"GO:0006605","protein targeting","BP","red","LOC111106955"," mitochondrial inner membrane protease subunit 2-like"
"2","XR_002638562.1","intracellular protein transport",0.0170957744271582,"GO:0006605","protein targeting","BP","red","LOC111126975"," signal recognition particle receptor subunit alpha-like"
