"","slim_term","slim_cat","GO_list","Gene_IDs","module_day"
"1","RNA binding","GO:0003729","GO:0003729;GO:0019843","XM_022449232.1;XM_022461504.1;XM_022465789.1;XM_022472493.1","Day18_green"
"2","structural molecule activity","GO:0003735","GO:0003735","XM_022432795.1;XM_022434060.1;XM_022434493.1;XM_022439982.1;XM_022440951.1;XM_022441035.1;XM_022452387.1;XM_022452991.1;XM_022453757.1;XM_022457419.1;XM_022457754.1;XM_022458026.1;XM_022458716.1;XM_022458870.1;XM_022460201.1;XM_022460338.1;XM_022460725.1;XM_022461359.1;XM_022461471.1;XM_022462214.1;XM_022464403.1;XM_022464806.1;XM_022465789.1;XM_022467108.1;XM_022467115.1;XM_022469477.1;XM_022470420.1;XM_022470798.1;XM_022471167.1;XM_022472493.1;XM_022472613.1;XM_022472901.1;XM_022473887.1;XM_022474258.1;XM_022474462.1;XM_022474564.1;XM_022477814.1;XM_022478379.1;XM_022478636.1;XM_022480126.1;XM_022480834.1;XM_022485315.1;XM_022486262.1;XM_022486934.1;XM_022486957.1;XM_022487266.1","Day18_green"
"3","catalytic activity","GO:0008233","GO:0008233;GO:0016491","XM_022434368.1;XM_022437244.1;XM_022441013.1;XM_022444311.1;XM_022450308.1;XM_022450954.1;XM_022450958.1;XM_022451881.1;XM_022457734.1;XM_022460698.1;XM_022462647.1;XM_022467545.1;XM_022471841.1;XM_022473643.1;XM_022476300.1;XM_022477509.1;XM_022477733.1;XM_022478000.1;XM_022478652.1;XM_022482785.1;XM_022486812.1;XM_022487258.1;XM_022488649.1;XM_022488845.1;XM_022488927.1","Day18_green"
"4","catalytic activity, acting on a protein","GO:0008233","GO:0008233","XM_022437244.1;XM_022441013.1;XM_022450954.1;XM_022450958.1;XM_022451881.1;XM_022467545.1;XM_022473643.1;XM_022482785.1;XM_022487258.1;XM_022488649.1;XM_022488927.1","Day18_green"
"5","hydrolase activity","GO:0008233","GO:0008233","XM_022437244.1;XM_022441013.1;XM_022450954.1;XM_022450958.1;XM_022451881.1;XM_022467545.1;XM_022473643.1;XM_022482785.1;XM_022487258.1;XM_022488649.1;XM_022488927.1","Day18_green"
"6","molecular function regulator activity","GO:0030234","GO:0030234","XM_022439790.1;XM_022448463.1;XM_022448720.1;XM_022454300.1;XM_022455250.1;XM_022456231.1;XM_022461853.1;XM_022462700.1;XM_022467573.1;XM_022471169.1;XM_022471194.1;XM_022487808.1","Day18_green"
