"","slim_term","slim_cat","GO_list","Gene_IDs","module_day"
"1","mRNA metabolic process","GO:0006397","GO:0006397","XM_022458865.1;XM_022464277.1;XM_022475115.1;XM_022480101.1","Day18_salmon"
"2","intracellular protein transport","GO:0006605","GO:0006605","XM_022476416.1;XM_022488825.1;XM_022490152.1","Day18_salmon"
