"","GO_terms","X","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day","slim_term","Gene_IDs"
"1","GO:0003729",21,0.0143603527146252,0.999185403150318,2,42,"mRNA binding","MF","green","Day18","RNA binding","XM_022449232.1;XM_022461504.1;XM_022465789.1;XM_022472493.1"
"2","GO:0003735",13,3.57373054232522e-51,1,46,176,"structural constituent of ribosome","MF","green","Day18","structural molecule activity","XM_022432795.1;XM_022434060.1;XM_022434493.1;XM_022439982.1;XM_022440951.1;XM_022441035.1;XM_022452387.1;XM_022452991.1;XM_022453757.1;XM_022457419.1;XM_022457754.1;XM_022458026.1;XM_022458716.1;XM_022458870.1;XM_022460201.1;XM_022460338.1;XM_022460725.1;XM_022461359.1;XM_022461471.1;XM_022462214.1;XM_022464403.1;XM_022464806.1;XM_022465789.1;XM_022467108.1;XM_022467115.1;XM_022469477.1;XM_022470420.1;XM_022470798.1;XM_022471167.1;XM_022472493.1;XM_022472613.1;XM_022472901.1;XM_022473887.1;XM_022474258.1;XM_022474462.1;XM_022474564.1;XM_022477814.1;XM_022478379.1;XM_022478636.1;XM_022480126.1;XM_022480834.1;XM_022485315.1;XM_022486262.1;XM_022486934.1;XM_022486957.1;XM_022487266.1"
"3","GO:0008233",16,0.00177444377227991,0.999471247487338,11,1210,"peptidase activity","MF","green","Day18","catalytic activity","XM_022434368.1;XM_022437244.1;XM_022441013.1;XM_022444311.1;XM_022450308.1;XM_022450954.1;XM_022450958.1;XM_022451881.1;XM_022457734.1;XM_022460698.1;XM_022462647.1;XM_022467545.1;XM_022471841.1;XM_022473643.1;XM_022476300.1;XM_022477509.1;XM_022477733.1;XM_022478000.1;XM_022478652.1;XM_022482785.1;XM_022486812.1;XM_022487258.1;XM_022488649.1;XM_022488845.1;XM_022488927.1"
"4","GO:0008233",16,0.00177444377227991,0.999471247487338,11,1210,"peptidase activity","MF","green","Day18","catalytic activity, acting on a protein","XM_022437244.1;XM_022441013.1;XM_022450954.1;XM_022450958.1;XM_022451881.1;XM_022467545.1;XM_022473643.1;XM_022482785.1;XM_022487258.1;XM_022488649.1;XM_022488927.1"
"5","GO:0008233",16,0.00177444377227991,0.999471247487338,11,1210,"peptidase activity","MF","green","Day18","hydrolase activity","XM_022437244.1;XM_022441013.1;XM_022450954.1;XM_022450958.1;XM_022451881.1;XM_022467545.1;XM_022473643.1;XM_022482785.1;XM_022487258.1;XM_022488649.1;XM_022488927.1"
"6","GO:0016491",19,0.00507724932168899,0.998006156759933,14,1338,"oxidoreductase activity","MF","green","Day18","catalytic activity","XM_022434368.1;XM_022437244.1;XM_022441013.1;XM_022444311.1;XM_022450308.1;XM_022450954.1;XM_022450958.1;XM_022451881.1;XM_022457734.1;XM_022460698.1;XM_022462647.1;XM_022467545.1;XM_022471841.1;XM_022473643.1;XM_022476300.1;XM_022477509.1;XM_022477733.1;XM_022478000.1;XM_022478652.1;XM_022482785.1;XM_022486812.1;XM_022487258.1;XM_022488649.1;XM_022488845.1;XM_022488927.1"
"7","GO:0019843",18,0.00308669227466249,0.999930578480441,2,10,"rRNA binding","MF","green","Day18","RNA binding","XM_022449232.1;XM_022461504.1;XM_022465789.1;XM_022472493.1"
"8","GO:0030234",15,0.000227414261308812,0.999943207844597,12,669,"enzyme regulator activity","MF","green","Day18","molecular function regulator activity","XM_022439790.1;XM_022448463.1;XM_022448720.1;XM_022454300.1;XM_022455250.1;XM_022456231.1;XM_022461853.1;XM_022462700.1;XM_022467573.1;XM_022471169.1;XM_022471194.1;XM_022487808.1"
