"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105318065","crg04145","Phagosome","105345691/105333395/105321678/105318065/105318622/105323790/105328823",7,"105318065","CDS"
"2","crg:105318065","crg04142","Lysosome","105347059/105337691/105318065/105318622/105340328/105323790/105328823/105339566",8,"105318065","CDS"
"3","crg:105318622","crg04142","Lysosome","105347059/105337691/105318065/105318622/105340328/105323790/105328823/105339566",8,"105318622","CDS"
"4","crg:105318622","crg00190","Oxidative phosphorylation","105345691/105333395/105321678/105318622/105323790/105328823",6,"105318622","CDS"
"5","crg:105318622","crg04145","Phagosome","105345691/105333395/105321678/105318065/105318622/105323790/105328823",7,"105318622","CDS"
"6","crg:105321678","crg04145","Phagosome","105345691/105333395/105321678/105318065/105318622/105323790/105328823",7,"105321678","CDS"
"7","crg:105321678","crg00190","Oxidative phosphorylation","105345691/105333395/105321678/105318622/105323790/105328823",6,"105321678","CDS"
"8","crg:105323790","crg00190","Oxidative phosphorylation","105345691/105333395/105321678/105318622/105323790/105328823",6,"105323790","CDS"
"9","crg:105323790","crg04142","Lysosome","105347059/105337691/105318065/105318622/105340328/105323790/105328823/105339566",8,"105323790","CDS"
"10","crg:105323790","crg04145","Phagosome","105345691/105333395/105321678/105318065/105318622/105323790/105328823",7,"105323790","CDS"
"11","crg:105328823","crg00190","Oxidative phosphorylation","105345691/105333395/105321678/105318622/105323790/105328823",6,"105328823","CDS"
"12","crg:105328823","crg04142","Lysosome","105347059/105337691/105318065/105318622/105340328/105323790/105328823/105339566",8,"105328823","CDS"
"13","crg:105328823","crg04145","Phagosome","105345691/105333395/105321678/105318065/105318622/105323790/105328823",7,"105328823","CDS"
"14","crg:105333395","crg00190","Oxidative phosphorylation","105345691/105333395/105321678/105318622/105323790/105328823",6,"105333395","CDS"
"15","crg:105333395","crg04145","Phagosome","105345691/105333395/105321678/105318065/105318622/105323790/105328823",7,"105333395","CDS"
"16","crg:105337691","crg04142","Lysosome","105347059/105337691/105318065/105318622/105340328/105323790/105328823/105339566",8,"105337691","CDS"
"17","crg:105339566","crg04142","Lysosome","105347059/105337691/105318065/105318622/105340328/105323790/105328823/105339566",8,"105339566","CDS"
"18","crg:105340328","crg04142","Lysosome","105347059/105337691/105318065/105318622/105340328/105323790/105328823/105339566",8,"105340328","CDS"
"19","crg:105345691","crg00190","Oxidative phosphorylation","105345691/105333395/105321678/105318622/105323790/105328823",6,"105345691","CDS"
"20","crg:105345691","crg04145","Phagosome","105345691/105333395/105321678/105318065/105318622/105323790/105328823",7,"105345691","CDS"
"21","crg:105347059","crg04142","Lysosome","105347059/105337691/105318065/105318622/105340328/105323790/105328823/105339566",8,"105347059","CDS"
