"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317506","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105317506","CDS"
"2","crg:105318401","crg00190","Oxidative phosphorylation","105332292/105329407/105343615/105328413/105318401/105344150/105347217/105319124",8,"105318401","CDS"
"3","crg:105319021","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105319021","CDS"
"4","crg:105319124","crg00190","Oxidative phosphorylation","105332292/105329407/105343615/105328413/105318401/105344150/105347217/105319124",8,"105319124","CDS"
"5","crg:105319282","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105319282","CDS"
"6","crg:105319364","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105319364","CDS"
"7","crg:105319573","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105319573","CDS"
"8","crg:105319797","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105319797","CDS"
"9","crg:105320864","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105320864","CDS"
"10","crg:105321548","crg03010","Ribosome","105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"105321548","CDS"
