"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317679","crg00410","beta-Alanine metabolism","105324334/105317679/105346080/105332278",4,"105317679","CDS"
"2","crg:105317754","crg03060","Protein export","105325007/105324820/105317754/105348945",4,"105317754","CDS"
"3","crg:105320076","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105320076","CDS"
"4","crg:105321025","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105321025","CDS"
"5","crg:105321861","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105321861","CDS"
"6","crg:105323904","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105323904","CDS"
"7","crg:105324334","crg00410","beta-Alanine metabolism","105324334/105317679/105346080/105332278",4,"105324334","CDS"
"8","crg:105324820","crg03060","Protein export","105325007/105324820/105317754/105348945",4,"105324820","CDS"
"9","crg:105325007","crg03060","Protein export","105325007/105324820/105317754/105348945",4,"105325007","CDS"
"10","crg:105325264","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105325264","CDS"
"11","crg:105327336","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105327336","CDS"
"12","crg:105330715","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105330715","CDS"
"13","crg:105331606","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105331606","CDS"
"14","crg:105332278","crg00410","beta-Alanine metabolism","105324334/105317679/105346080/105332278",4,"105332278","CDS"
"15","crg:105342463","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105342463","CDS"
"16","crg:105343266","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105343266","CDS"
"17","crg:105346080","crg00410","beta-Alanine metabolism","105324334/105317679/105346080/105332278",4,"105346080","CDS"
"18","crg:105347620","crg04144","Endocytosis","105321861/105327336/105331606/105321025/105320076/105343266/105325264/105342463/105323904/105330715/105347620",11,"105347620","CDS"
"19","crg:105348945","crg03060","Protein export","105325007/105324820/105317754/105348945",4,"105348945","CDS"
