"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_18","Rich_Factor"
"1","crg03010","Ribosome","39/92","120/4433",4.4488121449153e-39,2.04645358666104e-37,1.87318406101697e-37,"105341412/105331157/105326418/105344033/105328963/105348141/105324627/105347828/105347800/105325638/105319021/105346731/105326463/105337115/105321548/105333469/105319282/105338085/105319364/105340582/105336480/105342397/105319797/105319573/105339104/105332215/105338614/105342603/105344646/105317506/105320864/105335873/105332844/105347132/105337746/105335875/105344628/105335841/105330605",39,"39 of 92",0.325
"2","crg00190","Oxidative phosphorylation","8/92","85/4433",0.000329240544000843,0.00757253251201939,0.00693137987370196,"105332292/105329407/105343615/105328413/105318401/105344150/105347217/105319124",8,"8 of 92",0.0941176470588235
