"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_18","Rich_Factor"
"1","crg00190","Oxidative phosphorylation","6/33","85/4433",3.04368496719703e-05,0.00118703713720684,0.00105728004123686,"105345691/105333395/105321678/105318622/105323790/105328823",6,"6 of 33",0.0705882352941176
"2","crg04142","Lysosome","8/33","197/4433",7.01920180610759e-05,0.00136874435219098,0.00121912452421869,"105347059/105337691/105318065/105318622/105340328/105323790/105328823/105339566",8,"8 of 33",0.0406091370558376
"3","crg04145","Phagosome","7/33","165/4433",0.000164208940739789,0.00213471622961726,0.00190136668225019,"105345691/105333395/105321678/105318065/105318622/105323790/105328823",7,"7 of 33",0.0424242424242424
