"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105318076","crg00190","Oxidative phosphorylation","105332665/105329817/105319312/105342980/105339285/105318076/105318400/105328999/105336770",9,"105318076","CDS"
"2","crg:105318105","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105318105","CDS"
"3","crg:105318400","crg00190","Oxidative phosphorylation","105332665/105329817/105319312/105342980/105339285/105318076/105318400/105328999/105336770",9,"105318400","CDS"
"4","crg:105319167","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105319167","CDS"
"5","crg:105319312","crg00190","Oxidative phosphorylation","105332665/105329817/105319312/105342980/105339285/105318076/105318400/105328999/105336770",9,"105319312","CDS"
"6","crg:105320707","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105320707","CDS"
"7","crg:105321021","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105321021","CDS"
"8","crg:105322442","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105322442","CDS"
"9","crg:105322560","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105322560","CDS"
"10","crg:105323009","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105323009","CDS"
"11","crg:105328653","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105328653","CDS"
"12","crg:105328897","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105328897","CDS"
"13","crg:105328999","crg00190","Oxidative phosphorylation","105332665/105329817/105319312/105342980/105339285/105318076/105318400/105328999/105336770",9,"105328999","CDS"
"14","crg:105329817","crg00190","Oxidative phosphorylation","105332665/105329817/105319312/105342980/105339285/105318076/105318400/105328999/105336770",9,"105329817","CDS"
"15","crg:105330688","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105330688","CDS"
"16","crg:105331061","crg03015","mRNA surveillance pathway","105348755/105347084/105337940/105320707/105331061/105321021/105334534/105322560/105323009/105334335",10,"105331061","CDS"
"17","crg:105332665","crg00190","Oxidative phosphorylation","105332665/105329817/105319312/105342980/105339285/105318076/105318400/105328999/105336770",9,"105332665","CDS"
"18","crg:105332983","crg03050","Proteasome","105338316/105345779/105322442/105336919/105338413/105341348/105337862/105319167/105318105/105332983/105330688/105342563/105328897/105328653/105346718",15,"105332983","CDS"
