"sal","OA","temp","Salinity","pCO2","Temperature","pH","TA","Aragonite.Sat"
"L","H","L","17.25 ± 0.07 (18)","1870 ± 27 (18)","23 ± 0.07 (18)","7.2563 ± 0.00543 (18)","1258.86 ± 12.79 (18)","0.232 ± 0.0124 (18)"
"L","H","H","17.38 ± 0.07 (16)","1820 ± 36 (16)","27.1 ± 0.07 (16)","7.2807 ± 0.0116 (16)","1268.84 ± 10.92 (16)","0.298 ± 0.0109 (16)"
"L","L","L","17.27 ± 0.06 (18)","732 ± 5.7 (18)","23 ± 0.06 (18)","7.646 ± 0.00582 (18)","1256.78 ± 19.7 (18)","0.546 ± 0.0345 (18)"
"H","H","L","27.36 ± 0.05 (18)","1850 ± 6.9 (18)","23.1 ± 0.07 (18)","7.4036 ± 0.00524 (18)","1977.31 ± 6.788 (18)","0.661 ± 0.0109 (18)"
"L","L","H","17.4 ± 0.05 (18)","715 ± 16 (18)","27 ± 0.08 (18)","7.6618 ± 0.00397 (18)","1259.68 ± 5.435 (18)","0.669 ± 0.00631 (18)"
"H","H","H","27.56 ± 0.05 (14)","1860 ± 20 (14)","27.1 ± 0.09 (14)","7.4072 ± 0.00549 (14)","1969.48 ± 8.144 (14)","0.784 ± 0.00434 (14)"
"H","L","L","27.3 ± 0.04 (18)","676 ± 4 (18)","23.1 ± 0.06 (18)","7.8019 ± 0.0029 (18)","1943.57 ± 10.81 (18)","1.51 ± 0.0167 (18)"
"H","L","H","27.56 ± 0.05 (18)","673 ± 7 (18)","27.1 ± 0.08 (18)","7.8018 ± 0.00428 (18)","1931.49 ± 7.253 (18)","1.76 ± 0.00706 (18)"
