"Temp","pCO2","Sal","variable","mean","sd","se","n"
"H","H","H","Salinity",27.56,0.290961893603633,0.068580376011336,18
"H","H","H","t_oC__treatment",27.1222222222222,0.315399943219726,0.0743404795455067,18
"H","H","H","TA__mmol_gSW__Corrected_with_the_CRM",1969.48,54.2581598092154,12.7887709119332,18
"H","H","H","pH_Chosen_Scale",7.48794444444444,0.0271064833187283,0.0063890593895976,18
"H","H","H","t_oC_out",27.0533333333333,0.299682371536137,0.0773776556074269,15
"H","H","H","pH_out_chamber",7.40715896788889,0.0230274067701789,0.00542761182677817,18
"H","H","H","fCO2_out_matm",1850.83333333333,114.704864248875,27.0361957818207,18
"H","H","H","pCO2_out_matm",1856.61111111111,114.982493393247,27.1016335987008,18
"H","H","H","HCO3_out_mmol_gSW",1853.72055555556,50.589320132197,11.9240171070312,18
"H","H","H","CO3_out_mmol_gSW",47.0583333333333,3.14080778294562,0.740295493908111,18
"H","H","H","CO2_out_mmol_gSW",51.7944444444444,3.17147251422691,0.747523240385532,18
"H","H","H","OH_out_mmol_gSW",1.63888888888889,0.103235247565302,0.0243327812036325,18
"H","H","H","WCa_out",1.20888888888889,0.0799182588935418,0.0188369142680818,18
"H","H","H","WAr_out",0.784444444444444,0.0527170272997279,0.012425522495878,18
"H","H","L","Salinity",17.380625,0.261188788682312,0.0652971971705779,16
"H","H","L","t_oC__treatment",27.08125,0.292617497767991,0.0731543744419977,16
"H","H","L","TA__mmol_gSW__Corrected_with_the_CRM",1268.844375,43.6865805434957,10.9216451358739,16
"H","H","L","pH_Chosen_Scale",7.3525625,0.0482783163887612,0.0120695790971903,16
"H","H","L","t_oC_out",27.0357142857143,0.273459722409388,0.07308518502416,14
"H","H","L","pH_out_chamber",7.2807341975,0.0462019451403788,0.0115504862850947,16
"H","H","L","fCO2_out_matm",1813.3125,144.215911627901,36.0539779069753,16
"H","H","L","pCO2_out_matm",1818.959375,144.591418393059,36.1478545982648,16
"H","H","L","HCO3_out_mmol_gSW",1225.540625,38.350576782929,9.58764419573226,16
"H","H","L","CO3_out_mmol_gSW",17.280625,2.59982940145438,0.649957350363596,16
"H","H","L","CO2_out_mmol_gSW",53.501875,4.238671519474,1.0596678798685,16
"H","H","L","OH_out_mmol_gSW",0.925625,0.121927232397033,0.0304818080992582,16
"H","H","L","WCa_out",0.4825,0.0716007448750826,0.0179001862187706,16
"H","H","L","WAr_out",0.2975,0.0434357763446985,0.0108589440861746,16
"H","L","H","Salinity",27.5622222222222,0.236905430512971,0.05583914547188,18
"H","L","H","t_oC__treatment",27.1005555555556,0.258967911303635,0.0610393220641722,18
"H","L","H","TA__mmol_gSW__Corrected_with_the_CRM",1931.48611111111,83.5679272236515,19.6971493431826,18
"H","L","H","pH_Chosen_Scale",7.89633333333333,0.0235496971380551,0.00555071684706939,18
"H","L","H","t_oC_out",27.0473333333333,0.250498550513818,0.064678447625941,15
"H","L","H","pH_out_chamber",7.80182206361111,0.0247012380673692,0.00582213764704668,18
"H","L","H","fCO2_out_matm",671.388888888889,23.9733648498124,5.6505762843872,18
"H","L","H","pCO2_out_matm",673.493888888889,24.1301257008717,5.6875251713234,18
"H","L","H","HCO3_out_mmol_gSW",1671.17944444444,65.6945578793808,15.4843557878541,18
"H","L","H","CO3_out_mmol_gSW",105.286111111111,8.83434750004968,2.08227567488118,18
"H","L","H","CO2_out_mmol_gSW",18.8038888888889,0.705458873515829,0.166278251103755,18
"H","L","H","OH_out_mmol_gSW",4.05222222222222,0.226730094931644,0.0534407958750784,18
"H","L","H","WCa_out",2.70222222222222,0.225115801717708,0.0530603033156126,18
"H","L","H","WAr_out",1.755,0.146176766480941,0.0344541942768652,18
"H","L","L","Salinity",17.3966666666667,0.232024339494043,0.0546886612855226,18
"H","L","L","t_oC__treatment",27,0.31436209919735,0.0740958573634949,18
"H","L","L","TA__mmol_gSW__Corrected_with_the_CRM",1259.67722222222,28.7995328404831,6.78811498883675,18
"H","L","L","pH_Chosen_Scale",7.75077777777778,0.0245274289570234,0.00578117044686084,18
"H","L","L","t_oC_out",26.9933333333333,0.27115274205475,0.0700113369504347,15
"H","L","L","pH_out_chamber",7.66178148594444,0.0222123189826839,0.00523549379284481,18
"H","L","L","fCO2_out_matm",712.611111111111,29.0053522218976,6.83662708226936,18
"H","L","L","pCO2_out_matm",714.761111111111,29.1011163903277,6.85919891323323,18
"H","L","L","HCO3_out_mmol_gSW",1161.53055555556,23.1226393955011,5.45005837183001,18
