"","Cgigas_KEGGID","time_point","module","KEGGID_pathway","Log_pvalue_adj","Rich_factor","Description","Cvirginica_GeneID","Cvirginica_Protein_name"
"1","crg:105323254","Day 2 larvae","brown","crg03082",1.64,0.055,"ATP-dependent chromatin remodeling","LOC111137104"," SWI/SNF complex subunit SMARCC2-like"
"2","crg:105326705","Day 2 larvae","brown","crg03082",1.64,0.055,"ATP-dependent chromatin remodeling","LOC111119261"," actin, cytoplasmic-like"
"3","crg:105342401","Day 2 larvae","brown","crg03082",1.64,0.055,"ATP-dependent chromatin remodeling","LOC111130309"," DNA helicase INO80-like"
"4","crg:105347668","Day 2 larvae","brown","crg03082",1.64,0.055,"ATP-dependent chromatin remodeling","LOC111103396"," trithorax group protein osa-like"
"5","crg:105347668","Day 2 larvae","brown","crg03082",1.64,0.055,"ATP-dependent chromatin remodeling","LOC111104368"," trithorax group protein osa-like"
"6","crg:105319044","Day 2 larvae","brown","crg04137",1.35,0.024,"Mitophagy - animal","LOC111130067"," putative transcription factor p65 homolog"
"7","crg:105318231","Day 2 larvae","brown","crg00240",1.35,0.02,"Pyrimidine metabolism","LOC111103614"," adenylate kinase 9-like"
"8","crg:105329078","Day 2 larvae","blue","crg04512",1.35,0.044,"ECM-receptor interaction","LOC111131222"," collagen alpha-1(XII) chain-like"
"9","crg:105329078","Day 2 larvae","blue","crg04512",1.35,0.044,"ECM-receptor interaction","LOC111134058"," uncharacterized"
"10","crg:105342863","Day 2 larvae","blue","crg04512",1.35,0.044,"ECM-receptor interaction","LOC111132939"," agrin-like"
"11","crg:105342863","Day 2 larvae","blue","crg04512",1.35,0.044,"ECM-receptor interaction","LOC111138474"," serine protease inhibitor dipetalogastin-like"
"12","crg:105339039","Day 2 larvae","red","crg03013",1.35,0.021,"Nucleocytoplasmic transport","LOC111125573"," small ubiquitin-related modifier 3-like"
"13","crg:105339039","Day 2 larvae","red","crg03013",1.35,0.021,"Nucleocytoplasmic transport","LOC111125574"," small ubiquitin-related modifier 2-like"
"14","crg:105317506","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111114067"," 40S ribosomal protein S11-like"
"15","crg:105319282","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111119826"," 60S ribosomal protein L34-like"
"16","crg:105319282","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111119059"," 60S ribosomal protein L34-like"
"17","crg:105319797","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111121848"," 40S ribosomal protein S7-like"
"18","crg:105319797","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111118983"," 40S ribosomal protein S7-like"
"19","crg:105320386","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111128646"," 39S ribosomal protein L14, mitochondrial-like"
"20","crg:105321548","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111124252"," uncharacterized"
"21","crg:105321548","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111124261"," uncharacterized"
"22","crg:105323167","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111114778"," 40S ribosomal protein S27-like"
"23","crg:105323167","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111115985"," 40S ribosomal protein S27-like"
"24","crg:105323603","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111130939"," 28S ribosomal protein S16, mitochondrial-like"
"25","crg:105324627","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111120067"," 60S ribosomal protein L27a-like"
"26","crg:105325638","Day 2 larvae","black","crg03010",4.94,0.37,"Ribosome","LOC111136425"," 60S ribosomal protein L26-like"
