,SapleName_readmatrix,Temperature,OA,Salinity,Replicate,Aragonite_saturation,Age.days
1,A12.larva,High,Low,High,A,1.57,2
2,B1.larva,High,Low,High,B,1.57,2
3,B2.larva,High,Low,High,C,1.57,2
4,B3.larva,High,High,High,A,0.714,2
5,B4.larva,High,High,High,B,0.714,2
6,B5.larva,High,High,High,C,0.714,2
7,B6.larva,High,High,Low,A,0.309,2
8,B7.larva,High,High,Low,B,0.309,2
9,B8.larva,High,High,Low,C,0.309,2
10,C6.larva,High,Low,Low,A,0.638,2
11,C7.larva,High,Low,Low,B,0.638,2
12,C8.larva,High,Low,Low,C,0.638,2
