,SapleName_readmatrix,Temperature,OA,Salinity,Replicate,Aragonite_saturation,Age.days
1,A1.spat,High,Low,High,A,1.57,18
2,A2.spat,High,Low,High,B,1.57,18
3,A3.spat,High,Low,High,C,1.57,18
4,A4.spat,High,High,High,A,0.714,18
5,A5.spat,High,High,High,B,0.714,18
6,A6.spat,High,High,High,C,0.714,18
7,A7.spat,High,High,Low,A,0.309,18
8,A8.spat,High,High,Low,B,0.309,18
9,A9.spat,High,Low,Low,A,0.638,18
10,A10.spat,High,Low,Low,B,0.638,18
11,A11.spat,High,Low,Low,C,0.638,18
12,A12.larva,High,Low,High,A,1.57,2
13,B1.larva,High,Low,High,B,1.57,2
14,B2.larva,High,Low,High,C,1.57,2
15,B3.larva,High,High,High,A,0.714,2
16,B4.larva,High,High,High,B,0.714,2
17,B5.larva,High,High,High,C,0.714,2
18,B6.larva,High,High,Low,A,0.309,2
19,B7.larva,High,High,Low,B,0.309,2
20,B8.larva,High,High,Low,C,0.309,2
21,B9.larva,Low,Low,High,A,1.47,2
22,B10.larva,Low,Low,High,B,1.47,2
23,B11.larva,Low,Low,High,C,1.47,2
24,B12.larva,Low,High,High,A,0.64,2
25,C1.larva,Low,High,High,B,0.64,2
26,C2.larva,Low,High,High,C,0.64,2
27,C3.larva,Low,High,Low,A,0.221,2
28,C4.larva,Low,High,Low,B,0.221,2
29,C5.larva,Low,High,Low,C,0.221,2
30,C6.larva,High,Low,Low,A,0.638,2
31,C7.larva,High,Low,Low,B,0.638,2
32,C8.larva,High,Low,Low,C,0.638,2
33,C9.larva,Low,Low,Low,A,0.524,2
34,C10.larva,Low,Low,Low,B,0.524,2
35,C11.larva,Low,Low,Low,C,0.524,2
