real real bad,,,,,,,,,,,
real real bad,,,,,,,,,,,
,Sample.ID,stage,length_um,Temp,OA,Salinity,Replicate,pH,Aragonite_saturation,random_fact,Age
80,10,larvae,74.90655416,Low,Low,High,A,7.8,1.5,LLH_A,1
81,10,larvae,70.86343081,Low,Low,High,A,7.8,1.5,LLH_A,1
82,10,larvae,74.54510611,Low,Low,High,A,7.8,1.5,LLH_A,1
83,10,larvae,79.04166767,Low,Low,High,A,7.8,1.5,LLH_A,1
84,10,larvae,70.47829114,Low,Low,High,A,7.8,1.5,LLH_A,1
85,10,larvae,81.90676824,Low,Low,High,A,7.8,1.5,LLH_A,1
86,10,larvae,76.46971882,Low,Low,High,A,7.8,1.5,LLH_A,1
87,10,larvae,75.17418887,Low,Low,High,A,7.8,1.5,LLH_A,1
88,10,larvae,71.5566225,Low,Low,High,A,7.8,1.5,LLH_A,1
89,10,larvae,75.2223251,Low,Low,High,A,7.8,1.5,LLH_A,1
90,10,larvae,74.33929666,Low,Low,High,A,7.8,1.5,LLH_A,1
91,10,larvae,71.20433037,Low,Low,High,A,7.8,1.5,LLH_A,1
92,10,larvae,75.38731285,Low,Low,High,A,7.8,1.5,LLH_A,1
93,10,larvae,77.61572025,Low,Low,High,A,7.8,1.5,LLH_A,1
94,10,larvae,76.49287794,Low,Low,High,A,7.8,1.5,LLH_A,1
95,10,larvae,71.01663853,Low,Low,High,A,7.8,1.5,LLH_A,1
96,10,larvae,72.76415025,Low,Low,High,A,7.8,1.5,LLH_A,1
97,10,larvae,74.68866043,Low,Low,High,A,7.8,1.5,LLH_A,1
98,10,larvae,73.73731029,Low,Low,High,A,7.8,1.5,LLH_A,1
99,10,larvae,66.68364873,Low,Low,High,A,7.8,1.5,LLH_A,1
100,10,larvae,72.16679672,Low,Low,High,A,7.8,1.5,LLH_A,1
101,11,larvae,69.95367977,Low,Low,High,B,7.8,1.5,LLH_B,1
102,11,larvae,75.72119143,Low,Low,High,B,7.8,1.5,LLH_B,1
103,11,larvae,77.95197333,Low,Low,High,B,7.8,1.5,LLH_B,1
104,11,larvae,73.53350478,Low,Low,High,B,7.8,1.5,LLH_B,1
105,11,larvae,73.43603457,Low,Low,High,B,7.8,1.5,LLH_B,1
106,11,larvae,71.48257752,Low,Low,High,B,7.8,1.5,LLH_B,1
107,11,larvae,75.37607656,Low,Low,High,B,7.8,1.5,LLH_B,1
108,11,larvae,73.06349436,Low,Low,High,B,7.8,1.5,LLH_B,1
109,11,larvae,73.88981239,Low,Low,High,B,7.8,1.5,LLH_B,1
110,11,larvae,68.31153878,Low,Low,High,B,7.8,1.5,LLH_B,1
111,11,larvae,73.28570794,Low,Low,High,B,7.8,1.5,LLH_B,1
112,11,larvae,68.69415471,Low,Low,High,B,7.8,1.5,LLH_B,1
113,11,larvae,75.01067437,Low,Low,High,B,7.8,1.5,LLH_B,1
