"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317506","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105317506","40S ribosomal protein S11"
"2","crg:105318424","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105318424","NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial"
"3","crg:105319282","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105319282","60S ribosomal protein L34"
"4","crg:105319312","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105319312","NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial"
"5","crg:105319797","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105319797","40S ribosomal protein S7"
"6","crg:105320386","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105320386","39S ribosomal protein L14, mitochondrial"
"7","crg:105320915","crg03040","Spliceosome","105322958/105323611/105330935/105337940/105347083/105320915/105321607/105346162",8,"105320915","splicing factor 3B subunit 5"
"8","crg:105321030","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105321030","acyl carrier protein, mitochondrial"
"9","crg:105321548","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105321548","60S ribosomal protein L31"
"10","crg:105321607","crg03040","Spliceosome","105322958/105323611/105330935/105337940/105347083/105320915/105321607/105346162",8,"105321607","peptidyl-prolyl cis-trans isomerase E isoform X1"
"11","crg:105322557","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105322557","putative ATP synthase subunit f, mitochondrial"
"12","crg:105322958","crg03040","Spliceosome","105322958/105323611/105330935/105337940/105347083/105320915/105321607/105346162",8,"105322958","U6 snRNA-associated Sm-like protein LSm6 isoform X1"
"13","crg:105323167","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105323167","40S ribosomal protein S27-like"
"14","crg:105323475","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105323475","60S ribosomal protein L17"
"15","crg:105323486","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105323486","60S ribosomal protein L8 isoform X1"
"16","crg:105323542","crg00190","Oxidative phosphorylation","105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"105323542","NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 11, mitochondrial"
"17","crg:105323603","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105323603","28S ribosomal protein S16, mitochondrial"
"18","crg:105323611","crg03040","Spliceosome","105322958/105323611/105330935/105337940/105347083/105320915/105321607/105346162",8,"105323611","U6 snRNA-associated Sm-like protein LSm3"
"19","crg:105324073","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105324073","60S ribosomal protein L12"
"20","crg:105324627","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105324627","60S ribosomal protein L27a"
"21","crg:105325638","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105325638","60S ribosomal protein L26"
"22","crg:105326418","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105326418","60S ribosomal protein L23"
"23","crg:105326463","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105326463","60S ribosomal protein L18a"
"24","crg:105327279","crg03010","Ribosome","105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"105327279","ubiquitin-like protein FUBI"
