"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_2","Rich_Factor"
"1","crg03010","Ribosome","45/75","120/4419",1.44833473949578e-54,3.33116990084029e-53,3.04912576735954e-53,"105348430/105321548/105340032/105344646/105337746/105332844/105332215/105335873/105348494/105317506/105343260/105347733/105333469/105336480/105324627/105348656/105319797/105348141/105347800/105338035/105340582/105338614/105326463/105341326/105327279/105326418/105342603/105335803/105319282/105324073/105325638/105332495/105330605/105323475/105323603/105339104/105341412/105320386/105323486/105328963/105338952/105331157/105323167/105338085/105341101",45,"45 of 75",0.375
"2","crg00190","Oxidative phosphorylation","13/75","85/4419",9.34008139171552e-10,1.07410936004728e-08,9.83166462285844e-09,"105347217/105341417/105342170/105323542/105319312/105322557/105343349/105321030/105347858/105318424/105343615/105341238/105329407",13,"13 of 75",0.152941176470588
"3","crg03040","Spliceosome","8/75","126/4419",0.0011875973252931,0.00910491282724711,0.00833401631784632,"105322958/105323611/105330935/105337940/105347083/105320915/105321607/105346162",8,"8 of 75",0.0634920634920635
