"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_18","Rich_Factor"
"1","crg03010","Ribosome","13/99","120/4426",1.92376518860047e-06,0.000113502146127428,9.72007674240236e-05,"105342397/105331823/105347132/105348430/105321315/105324897/105335239/105348656/105341326/105344033/105348141/105332844/105348494",13,"13 of 99",0.108333333333333
"2","crg00500","Starch and sucrose metabolism","6/99","33/4426",7.30602130151469e-05,0.001755463135256,0.00150334041913092,"105348751/105348748/105345011/105346675/105342880/105342874",6,"6 of 99",0.181818181818182
"3","crg00190","Oxidative phosphorylation","9/99","84/4426",8.92608373858981e-05,0.001755463135256,0.00150334041913092,"105322557/105341238/105317345/105336649/105344113/105341417/105342170/105333576/105323542",9,"9 of 99",0.107142857142857
