"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","GeneRatio_18","Rich_Factor"
"1","crg00190","Oxidative phosphorylation","36/435","84/4431",1.11662505244839e-15,1.17245630507081e-13,1.01083952116381e-13,"105340141/105332665/105333395/105346116/105329817/105337089/105341417/105319312/105333576/105343349/105332292/105332067/105342980/105331281/105326432/105339285/105318076/105344651/105345808/105318424/105330603/105341248/105321030/105318401/105328999/105318218/105318342/105347858/105345750/105336770/105347217/105338659/109618245/105321566/105324755/105319696",36,"36 of 435",0.428571428571429
"2","crg03040","Spliceosome","40/435","126/4431",3.77828056081959e-12,1.98359729443029e-10,1.71016909594992e-10,"105337188/105348755/105326740/105322958/105334527/105335780/105339081/105337940/105347185/105348805/105320915/105321607/105321821/105334510/105339474/105319620/105322652/105330153/105343163/105345480/105331507/105340745/105346162/105320956/105320107/105343416/105318287/105326999/105317098/105322560/105322216/105338772/105341528/105347083/105328352/105348485/105325235/105336187/105330935/105323611",40,"40 of 435",0.317460317460317
"3","crg03050","Proteasome","17/435","42/4431",1.34833664177584e-07,4.71917824621545e-06,4.06866495413062e-06,"105327391/105341348/105346293/105338413/105328897/105348466/105322442/105339979/105326796/105326861/105318105/105332983/105330688/105318528/105341026/105324879/105346718",17,"17 of 435",0.404761904761905
"4","crg03008","Ribosome biogenesis in eukaryotes","18/435","64/4431",2.53218296454514e-05,0.0006646980281931,0.000573072986712848,"105320849/105347334/105328638/105348739/105332140/105345062/105344975/105348805/105323847/105345478/105348015/105347537/105327414/105338621/105340884/105335696/105334252/105343450",18,"18 of 435",0.28125
"5","crg04141","Protein processing in endoplasmic reticulum","30/435","142/4431",3.23308884363108e-05,0.000678948657162526,0.000585359243267943,"105329338/105334865/105335778/105326153/105341095/105332358/105341091/105346081/105328588/105346120/105333050/105318855/105340370/105334510/105339057/105344405/105345989/105345701/105325178/105340656/105331521/105337540/105326385/105333774/105325010/105322320/105346349/105342515/105328488/105327783",30,"30 of 435",0.211267605633803
"6","crg00020","Citrate cycle (TCA cycle)","11/435","29/4431",4.83882161411303e-05,0.00084679378246978,0.000730067822480212,"105319941/105338798/105337089/105343391/105322330/105343888/105326107/105341248/105328773/105338659/105345932",11,"11 of 435",0.379310344827586
