"","Cgigas_KEGG_IDs","Cgigas_PathwayID","Pathway_Description","Pathway_gene_list","Pathway_gene_count","gene_IDs","Gene_name"
"1","crg:105317506","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105317506","40S ribosomal protein S11"
"2","crg:105319021","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105319021","60S ribosomal protein L15"
"3","crg:105319282","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105319282","60S ribosomal protein L34"
"4","crg:105319364","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105319364","60S acidic ribosomal protein P0"
"5","crg:105319573","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105319573","60S ribosomal protein L37a"
"6","crg:105319797","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105319797","40S ribosomal protein S7"
"7","crg:105320864","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105320864","probable ribosome biogenesis protein RLP24"
"8","crg:105321548","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105321548","60S ribosomal protein L31"
"9","crg:105323475","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105323475","60S ribosomal protein L17"
"10","crg:105324073","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105324073","60S ribosomal protein L12"
"11","crg:105324627","crg03010","Ribosome","105324073/105319364/105340032/105341412/105331157/105326418/105344033/105323475/105328963/105338604/105348141/105324627/105347828/105347733/105347800/105343260/105325638/105319021/105341326/105326463/105321548/105333469/105319282/105338085/105340582/105336480/105319797/105339104/105332215/105338614/105332191/105332495/105342603/105344646/105317506/105348430/105320864/105335873/105332844/105327279/105337746/105330130/105335875/105344628/105330605/105319573/105338035",47,"105324627","60S ribosomal protein L27a"
