"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0042254",3.36237400755692e-49,1,48,252,"ribosome biogenesis","BP","green","Day18"
"2","GO:0006412",6.24778613351716e-49,1,47,276,"translation","BP","green","Day18"
"3","GO:0006397",5.95126899417594e-05,0.999993275326057,7,186,"mRNA processing","BP","green","Day18"
"4","GO:0006091",0.000676710182500624,0.999905240481395,6,216,"generation of precursor metabolites and energy","BP","green","Day18"
"5","GO:0006457",0.0144879124267408,0.998282742570219,3,80,"protein folding","BP","green","Day18"
"6","GO:0034641",0.0296398547091497,0.983869865083909,19,2677,"cellular nitrogen compound metabolic process","BP","green","Day18"
"7","GO:0005840",2.19150712226124e-45,1,46,255,"ribosome","CC","green","Day18"
"8","GO:0032991",1.23139063697861e-05,0.999995264223123,32,3519,"protein-containing complex","CC","green","Day18"
"9","GO:0005622",0.000916802115331841,0.999715838244622,13,1052,"intracellular anatomical structure","CC","green","Day18"
"10","GO:0005737",0.00219969364295538,0.999422825871753,9,691,"cytoplasm","CC","green","Day18"
"11","GO:0005829",0.0218669317678751,0.998454582476046,2,40,"cytosol","CC","green","Day18"
"12","GO:0005576",0.0372993519699674,0.987931880624182,6,405,"extracellular region","CC","green","Day18"
"13","GO:0003735",3.57373054232522e-51,1,46,176,"structural constituent of ribosome","MF","green","Day18"
"14","GO:0003723",7.35743318684508e-08,0.999999991010162,14,550,"RNA binding","MF","green","Day18"
"15","GO:0030234",0.000227414261308812,0.999943207844597,12,669,"enzyme regulator activity","MF","green","Day18"
"16","GO:0008233",0.00177444377227991,0.999471247487338,11,1210,"peptidase activity","MF","green","Day18"
"17","GO:0051082",0.00223262306961377,0.999866630285421,3,53,"unfolded protein binding","MF","green","Day18"
"18","GO:0019843",0.00308669227466249,0.999930578480441,2,10,"rRNA binding","MF","green","Day18"
"19","GO:0016491",0.00507724932168899,0.998006156759933,14,1338,"oxidoreductase activity","MF","green","Day18"
"20","GO:0005198",0.0085559029572876,0.999152889811023,3,179,"structural molecule activity","MF","green","Day18"
"21","GO:0003729",0.0143603527146252,0.999185403150318,2,42,"mRNA binding","MF","green","Day18"
