"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","moduleColor","Day"
"1","GO:0005975",1.8198374008465e-05,0.999994960894044,18,564,"carbohydrate metabolic process","BP","blue","Day18"
"2","GO:0009056",7.22090890050128e-05,0.999976848238352,19,739,"catabolic process","BP","blue","Day18"
"3","GO:0006412",0.00168476105539061,0.999443135021453,13,276,"translation","BP","blue","Day18"
"4","GO:0006629",0.00206142089797469,0.999203966227018,16,708,"lipid metabolic process","BP","blue","Day18"
"5","GO:0042254",0.00278675885241176,0.999026062007378,13,252,"ribosome biogenesis","BP","blue","Day18"
"6","GO:0007155",0.00321989973440424,0.999026879546567,10,520,"cell adhesion","BP","blue","Day18"
"7","GO:0008150",0.036086650334185,0.981832386041831,14,894,"biological_process","BP","blue","Day18"
"8","GO:0005576",7.68430991591048e-09,0.999999998628932,24,405,"extracellular region","CC","blue","Day18"
"9","GO:0005618",4.89559062176191e-05,0.999999712080202,3,4,"cell wall","CC","blue","Day18"
"10","GO:0005929",6.71998167351077e-05,0.999995698964138,5,64,"cilium","CC","blue","Day18"
"11","GO:0031012",0.000528584436136487,0.999964097894817,4,56,"extracellular matrix","CC","blue","Day18"
"12","GO:0005840",0.00395330341175357,0.998560324513437,13,255,"ribosome","CC","blue","Day18"
"13","GO:0005739",0.00423600520966531,0.998436721705825,13,350,"mitochondrion","CC","blue","Day18"
"14","GO:0030234",5.99211989554426e-06,0.999998109570927,24,669,"enzyme regulator activity","MF","blue","Day18"
"15","GO:0016798",2.47487171294411e-05,0.999996001366427,10,252,"hydrolase activity, acting on glycosyl bonds","MF","blue","Day18"
"16","GO:0005198",0.000146194254266778,0.999980780131471,7,179,"structural molecule activity","MF","blue","Day18"
"17","GO:0003735",0.000370879003141732,0.999897229217091,13,176,"structural constituent of ribosome","MF","blue","Day18"
"18","GO:0016491",0.00054619872312704,0.999743018173312,30,1338,"oxidoreductase activity","MF","blue","Day18"
"19","GO:0008233",0.0213151906649139,0.989157813884844,17,1210,"peptidase activity","MF","blue","Day18"
