Date & time of file creation	5/7/2021 3:53 PM																																													
Raw data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp high salinity 1-2-3- and 4-5-6_raw.txt																																													
Data file path	C:\Users\user\Documents\Oysters larvael 2021\april 30 2021\may 7 2021 high temp high salinity 1-2-3- and 4-5-6.txt																																													
																																														
																																														
CALIBRATION DATA																																														
Parameter/Channel	N moving average	LO input	HI input	LO value	HI value	LO cal temp [°C]	HI cal temp [°C]																																							
5/7/2021/3:53:24 PM	Flush	1014.0	17.1	25.5113	28.19	98.03	26.0675	28.19	103.16	24.7237	28.19	100.83	25.7825	28.19	101.37	24.9750	28.27	100.38	26.1225	28.27	101.77	25.7000	28.27	100.70	24.7400	28.27	99.25	NaN	NaN	NaN	NaN	28.1900	28.19	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:25 PM	Flush	1014.0	17.1	25.4838	28.19	98.29	26.0725	28.19	103.10	24.7300	28.19	100.76	25.7812	28.19	101.38	24.9700	28.27	100.43	26.1200	28.27	101.80	25.7150	28.27	100.56	24.7475	28.27	99.18	NaN	NaN	NaN	NaN	28.1938	28.19	OFF	28.2675	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:26 PM	Flush	1014.0	17.1	25.5087	28.20	98.04	26.0525	28.20	103.29	24.7225	28.20	100.82	25.8038	28.20	101.15	24.9900	28.26	100.24	26.1000	28.26	102.01	25.6775	28.26	100.94	24.7625	28.26	99.05	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:27 PM	Flush	1014.0	17.1	25.5350	28.20	97.79	26.0375	28.20	103.44	24.7175	28.20	100.87	25.7975	28.20	101.21	24.9675	28.26	100.47	26.1250	28.26	101.76	25.6950	28.26	100.77	24.7425	28.26	99.24	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:28 PM	M1   	1014.0	17.1	25.5225	28.20	97.91	26.0375	28.20	103.45	24.7325	28.20	100.73	25.7700	28.20	101.48	24.9950	28.26	100.19	26.1125	28.26	101.88	25.6900	28.26	100.81	24.7450	28.26	99.22	NaN	NaN	NaN	NaN	28.1975	28.20	OFF	28.2625	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:29 PM	M1   	1014.0	17.1	25.5300	28.19	97.85	26.0600	28.19	103.23	24.7225	28.19	100.84	25.7925	28.19	101.27	25.0125	28.27	100.01	26.1100	28.27	101.90	25.7050	28.27	100.66	24.7325	28.27	99.33	NaN	NaN	NaN	NaN	28.1925	28.19	OFF	28.2675	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:30 PM	M1   	1014.0	17.1	25.5300	28.20	97.84	26.0637	28.20	103.18	24.7525	28.20	100.52	25.7812	28.20	101.37	25.0125	28.26	100.01	26.0850	28.26	102.15	25.6625	28.26	101.08	24.7375	28.26	99.29	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2625	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:31 PM	M1   	1014.0	17.1	25.5338	28.20	97.80	26.0625	28.20	103.19	24.7400	28.20	100.65	25.7963	28.20	101.22	24.9925	28.27	100.20	26.1025	28.27	101.97	25.6725	28.27	100.97	24.7325	28.27	99.33	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2700	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:32 PM	M1   	1014.0	17.1	25.5437	28.20	97.71	26.0500	28.20	103.32	24.7400	28.20	100.65	25.7825	28.20	101.36	25.0000	28.27	100.13	26.1075	28.27	101.92	25.6775	28.27	100.93	24.7400	28.27	99.26	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2675	28.27	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
5/7/2021/3:53:33 PM	M1   	1014.0	17.1	25.5463	28.20	97.68	26.0500	28.20	103.32	24.7475	28.20	100.57	25.7625	28.20	101.55	25.0050	28.26	100.09	26.1000	28.26	102.01	25.6650	28.26	101.06	24.7400	28.26	99.27	NaN	NaN	NaN	NaN	28.2000	28.20	OFF	28.2600	28.26	OFF	NaN	20.00	NaN	OFF	NaN	20.00	NaN	OFF	
