"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","A12.larva","B1.larva","B2.larva","B3.larva","B4.larva","B5.larva","B6.larva","B7.larva","B8.larva","B9.larva","B10.larva","B11.larva","B12.larva","C1.larva","C2.larva","C3.larva","C4.larva","C5.larva","C6.larva","C7.larva","C8.larva","C9.larva","C10.larva","C11.larva"
"1","XM_022486110.1",48.4319088366069,46.3515852685257,5.032750412897,9.20999085306207,3.2615272211439e-20,1.56683767703753e-16,70.7634177845944,0,57.0705666746566,66.4594208920202,66.617152024429,68.5517616156946,127.241733681271,114.58468963449,0,0,0,0,0,128.155868727464,0,138.381846632376,54.6581292449,75.043557404233,0,0,0,0,108.63264524949,86.2050225129469
"2","XM_022440140.1",73.8610002964277,-3.64273379011843,0.444011314927943,-8.20414630809486,2.32235148811623e-16,3.71885884963679e-13,111.199656518648,89.0865065086498,95.1176111244277,35.3735627328495,23.4567436705736,25.0799127862297,54.6668189149165,50.7740540895344,41.2430421831999,89.255749139248,68.7986823266866,81.1028839448418,40.7337465070986,62.3223745181503,80.3876457113745,67.19118564809,70.5266183805161,83.9773142380702,100.585731956137,110.68397328291,119.865837683358,82.5598346532006,79.4376218386893,109.236898756864
"3","XM_022480230.1",517.870864879201,-2.26898051711897,0.276465401563808,-8.20710477435741,2.26585830128375e-16,3.71885884963679e-13,733.468441481589,791.08817779681,574.329194789402,644.227612195228,655.850553029238,529.186159789447,412.82873594368,492.645551841699,480.281878326941,556.360836301313,482.776960464852,546.830050840222,441.553812136949,476.634498075431,484.335565411032,201.57355694427,197.474531465445,195.649274661036,731.28545665408,645.484105874167,591.778584468233,553.754988527565,429.098948735484,580.403281346711
"4","XM_022485025.1",48.1481111610958,46.7854334364402,5.77912483548775,8.09559142054623,5.6986796465096e-16,6.84411425545803e-13,0,0,116.85877938144,66.4594208920202,50.6665663284389,110.351616259411,49.9541621119064,111.840146170191,0,0,0,0,0,119.378069499555,105.508784996179,121.584050220353,0,112.565336106349,0,0,0,0,92.3377484620661,98.04998743839
"5","XM_022475737.1",146.837806033935,26.2879084877836,3.69883488783727,7.10707811646988,1.18525357470824e-12,1.13879163457968e-09,69.6401889308707,218.558895967887,224.658738655791,285.132354149635,181.086061136828,250.799127862297,123.471608238863,34.3067933037395,0,194.379187014362,0,328.098030504133,232.997030020604,299.322953671679,155.751063565788,367.951730930017,214.224603330818,197.436026027803,0,0,146.292951503311,0,0,0
"6","XM_022476317.1",236.995117813681,-24.0960793829468,3.63778993641854,-6.62382375126085,3.50024081905937e-11,2.80252614912687e-08,548.135680617176,313.584502910447,522.693920178998,113.624171202486,449.43120872819,256.651107512418,263.908780968562,184.570547974118,0,106.115168421106,171.996705816716,387.081946100382,356.827619402184,472.245598461477,399.928537414088,0,0,0,296.320129276189,104.477395341812,538.924356828327,201.36545037366,0,0
"7","XM_022430770.1",166.135588037235,-5.00581323764769,0.774992909394955,-6.45917295108646,1.05276740972074e-10,7.22499233756921e-08,86.4886217367265,85.5230462483038,52.5411566211124,9.64733529077713,0,7.52397383586892,44.2989739482944,68.6135866074789,65.1906150637676,150.74304299073,208.768415336152,201.528378287183,205.298082395777,229.100559848412,116.562086281493,285.562539004383,446.962443986521,320.721870334758,221.560463633113,130.338136763053,147.236776996881,387.628491969295,197.575623547509,317.839892166056
"8","XM_022460006.1",334.050088924293,1.84766592919204,0.298554952148144,6.1886963049778,6.06638284209935e-10,3.64286289668066e-07,220.152855329849,263.696059265603,242.776378869968,276.556945002278,333.085760122145,259.15909879104,320.460662604683,327.286808117675,340.587703190296,246.94090595192,259.774334992144,258.054630733588,400.820065629851,319.511891895869,376.817089272068,575.9244484122,731.713665697855,446.687841691863,334.379595421754,302.053459800091,304.855634423029,302.04817556049,279.050107484626,294.808015922139
"9","XM_022468296.1",59.7712224708573,22.0177905960539,3.57303583038021,6.16220817290572,7.1737455845297e-10,3.82918597645341e-07,46.0523830026725,59.3910043390999,81.5293809637952,0,111.65409987193,0,41.4713798664884,98.8035647147697,85.146925797574,81.3219047713149,141.155917187512,143.773294265856,0,48.2778957534967,56.2713519979622,52.793074437785,156.040143166892,125.965971357105,0,0,0,0,50.2425984278889,54.618449378432
"10","XM_022446361.1",94.0018855572059,23.5070616672354,3.89562705013182,6.03421769197335,1.59734612176428e-09,7.6736507689556e-07,77.5027909069367,89.0865065086498,98.741139167263,58.9559378880825,80.6911982267731,222.37522670457,0,0,210.206473062761,77.3549825873483,200.465126089828,223.647346635776,105.907740918456,202.767162164686,83.4021824255511,143.98111210305,0,118.818965890036,0,169.646463723339,92.4948983698355,0,0,0
"11","XM_022487060.1",230.132384133602,-2.10609467473949,0.356102651210303,-5.91429091466015,3.33308332300493e-09,1.4556483894287e-06,439.182481805975,365.848586728855,380.470444497711,240.111456126009,207.357614047871,222.37522670457,179.080958514382,151.636026402528,119.737864402838,319.33723580931,297.732228689626,258.054630733588,242.773129182308,202.767162164686,201.973959849829,131.182791027223,123.421582165903,182.24863941028,305.83499581258,314.466615682287,212.360736053194,134.914851750352,131.717082365006,158.590919279544
"12","XM_022455052.1",30.0662145392887,13.4801763399251,2.31688042505418,5.81824430564209,5.94689416179918e-09,2.19760611948333e-06,0,0,0,28.9420058723314,25.3332831642195,25.0799127862297,38.6437857846823,63.8106355449554,43.9038836143741,0,0,0,0,24.5778378381438,0,76.78992645496,58.1844601639258,75.043557404233,33.9816662013978,26.8951710780903,26.427113819953,61.4164623639663,65.1795871496938,47.3798597017724
"13","XM_022477027.1",110.676575581515,-21.333895397552,3.66183728237795,-5.82600857231374,5.67687012213585e-09,2.19760611948333e-06,94.3512237127925,0,79.7176169423775,0,0,0,147.034892253913,174.964645849071,95.7902915222707,185.453612100438,0,0,136.865388263851,71.9779536688496,162.784982565533,213.571982952858,207.171941492766,207.263158545024,0,162.405456125391,181.214494765392,178.208423580689,196.8966695147,160.565080100451
"14","XM_022472590.1",61.0579767676036,24.0499688862546,4.17454274238078,5.76110256150801,8.3566239320249e-09,2.67634809129651e-06,69.6401889308707,60.5788244258819,48.9176285782771,71.8190516091186,131.357764555212,56.847802315454,104.620981026823,93.3144777861714,0,64.4624854894569,72.3572348608256,0,0,140.444787646536,0,108.785729144527,98.7372657327225,128.646098407257,0,0,0,0,96.411472658922,118.449649254431
